name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Anoxybacillus sp. PDR2	1636720	species	3791144	2	0	0.0
Anabaena sp. WA102	1647413	species	5782034	4	1	0.0
Cytobacillus ciccensis	1670641	species	5207802	2	2	0.0
Thermoanaerosceptrum fracticalcis	1712410	species	3805411	29	0	0.0
Fischerella sp. NIES-3754	1752063	species	5826863	19	0	0.0
cyanobacterium endosymbiont of Rhopalodia gibberula	1763363	species	3020309	34	0	0.0
Campylobacter geochelonis	1780362	species	2167961	7	7	0.0
Nostoc sp. CENA543	1869241	species	7207640	12	12	0.0
Synechococcales	1890424	order	3311113	71	0	0.0
Synechococcaceae	1890426	family	2879808	2	0	0.0
Acaryochloridaceae	1890429	family	8361599	1	0	0.0
Pseudanabaenaceae	1890436	family	0	1	0	0.0
Microcystaceae	1890449	family	5158038	3	0	0.0
Aphanothecaceae	1890450	family	4916521	6	0	0.0
Chroococcaceae	1890464	family	0	5	0	0.0
Dermocarpellaceae	1890498	family	5544990	1	0	0.0
Chroococcidiopsidaceae	1890528	family	6689401	41	0	0.0
Coleofasciculaceae	1892251	family	0	1	0	0.0
Microcoleaceae	1892252	family	7750108	9	0	0.0
Oscillatoriaceae	1892254	family	8595060	1	0	0.0
Aphanizomenonaceae	1892259	family	4630420	108	0	0.0
Dolichospermum sp. UHCC 0315A	1914871	species	5642022	3	0	0.0
Leclercia sp. LSNIH1	1920114	species	5411940	1	1	0.0
Leclercia sp. LSNIH3	1920116	species	5389886	1	1	0.0
Bartonella sp. Raccoon60	1933912	species	1615700	2	0	0.0
Calothrix sp. NIES-2098	1954171	species	8878628	1	0	0.0
Calothrix sp. NIES-3974	2005462	species	5985875	5	0	0.0
Koinonema	2023214	genus	0	2	0	0.0
Kaistella flava (ex Peng et al. 2021)	2038776	species	3716699	3	0	0.0
Olleya sp. Bg11-27	2058135	species	4314320	3	0	0.0
Oxynema sp. AP17	2064643	species	6357750	41	0	0.0
Lysinibacillus sp. YS11	2072025	species	4584915	1	1	0.0
Tolypothrix sp. PCC 7910	2099387	species	8761534	1	0	0.0
Synechocystis sp. IPPAS B-1465	2116702	species	3950993	26	0	0.0
Sphingomonas sp. FARSPH	2219696	species	3761538	1	1	0.0
Kordia sp. SMS9	2282170	species	5482391	2	2	0.0
Rosistilla oblonga	2527990	species	7250512	2	0	0.0
Planctopirus ephydatiae	2528019	species	5214061	21	0	0.0
Gloeothece citriformis	2546356	species	6554169	1	0	0.0
Crocosphaera subtropica	2546360	species	5460377	14	0	0.0
Rippkaea	2546365	genus	4795520	2	0	0.0
Rippkaea orientalis	2546366	species	4795520	642	0	0.0
Brevundimonas sp. Bb-A	2560058	species	3281994	15	15	0.0
Nostoc sp. TCL26-01	2576904	species	7387676	1906	0	0.0
Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:-	2583588	leaf	151104939	1	0	0.0
Anaerolinea sp. 'rifampicinis'	2710758	species	5631885	2	2	0.0
Spirosoma taeanense	2735870	species	5719932	2	0	0.0
Streptomyces sp. CB00271	2750025	species	8309852	5	5	0.0
Weeksellaceae	2762318	family	3062042	1	0	0.0
Thermomonas sp. XSG	2771436	species	3047478	2	0	0.0
Aeromonas sp. FDAARGOS 1414	2778063	species	4493834	1	0	0.0
Chryseobacterium sp. FDAARGOS 1104	2778077	species	3699485	3	0	0.0
Clostridium sp. 'deep sea'	2779445	species	3831732	5	5	0.0
Nostoc sp. UHCC 0702	2814655	species	8587404	1907	0	0.0
Enterobacter cloacae complex sp. ECL72	2850078	species	4851460	1	0	0.0
