['contig-0092817', 5843295]
['contig-0050817', 743258]
['contig-0046209', 742706]
['contig-0017191', 742040]
['contig-0088663', 742037]
['contig-0105964', 740479]
['contig-0007373', 738340]
['contig-0017637', 736886]
['contig-0126234', 734531]
['contig-0008154', 734262]
['contig-0064737', 732416]
['contig-0005100', 730877]
['contig-0098237', 730736]
['contig-0101063', 730267]
['contig-0081693', 729727]
['contig-0073876', 728860]
['contig-0095048', 728102]
['contig-0091577', 728042]
['contig-0126365', 726888]
['contig-0002152', 726424]
['contig-0029114', 725196]
['contig-0047002', 724912]
['contig-0072727', 724864]
['contig-0102092', 724681]
['contig-0054180', 724539]
['contig-0084446', 724017]
['contig-0044588', 723287]
['contig-0067354', 722931]
['contig-0061143', 722858]
['contig-0029809', 721735]
['contig-0044730', 721550]
['contig-0113567', 721116]
['contig-0039808', 720597]
['contig-0116580', 718821]
['contig-0079361', 717097]
['contig-0127990', 716114]
['contig-0024542', 715919]
['contig-0097876', 714725]
['contig-0016285', 714378]
['contig-0093271', 714356]
['contig-0067822', 714317]
['contig-0112811', 713084]
['contig-0094511', 713064]
['contig-0053623', 712681]
['contig-0059189', 712235]
['contig-0110995', 712178]
['contig-0087762', 711896]
['contig-0077023', 711328]
['contig-0019061', 710868]
['contig-0017143', 710473]
['contig-0003987', 709812]
['contig-0113887', 708728]
['contig-0019569', 708221]
['contig-0005866', 708092]
['contig-0000443', 707848]
['contig-0017492', 706581]
['contig-0097583', 706198]
['contig-0046014', 706085]
['contig-0070264', 705746]
['contig-0070995', 705541]
['contig-0052266', 704777]
['contig-0072737', 704588]
['contig-0106302', 703702]
['contig-0122838', 703539]
['contig-0007154', 702641]
['contig-0121809', 702231]
['contig-0054455', 702057]
['contig-0046490', 700816]
['contig-0034062', 700208]
['contig-0015701', 700128]
['contig-0025760', 699493]
['contig-0092837', 699201]
['contig-0127991', 698979]
['contig-0061054', 698721]
['contig-0114737', 697743]
['contig-0114877', 697599]
['contig-0040509', 697349]
['contig-0012488', 696953]
['contig-0122926', 696021]
['contig-0015543', 696002]
['contig-0128415', 695251]
['contig-0081730', 695050]
['contig-0026182', 694563]
['contig-0014115', 694096]
['contig-0012055', 692660]
['contig-0005404', 691583]
['contig-0108398', 691385]
['contig-0043387', 691070]
['contig-0107758', 690903]
['contig-0092505', 690744]
['contig-0000803', 690554]
['contig-0096121', 689918]
['contig-0112635', 689900]
['contig-0030142', 689708]
['contig-0062042', 689505]
['contig-0116122', 687057]
['contig-0089254', 686750]
['contig-0108488', 686134]
['contig-0099332', 685803]
['contig-0056121', 684795]
['contig-0070017', 684144]
['contig-0035611', 684046]
['contig-0082763', 683992]
['contig-0041487', 683783]
['contig-0015036', 683632]
['contig-0048961', 683354]
['contig-0119842', 683180]
['contig-0006586', 682802]
['contig-0062147', 681177]
['contig-0111209', 680917]
['contig-0113702', 680852]
['contig-0097334', 680834]
['contig-0114563', 679773]
['contig-0067212', 677778]
['contig-0080083', 677315]
['contig-0036827', 675714]
['contig-0045696', 675591]
['contig-0079908', 675352]
['contig-0073952', 675227]
['contig-0033820', 674153]
['contig-0098277', 673987]
['contig-0003759', 673436]
['contig-0072736', 672856]
['contig-0017115', 672579]
['contig-0015919', 672478]
['contig-0123609', 671451]
['contig-0002794', 671401]
['contig-0061059', 671283]
['contig-0107439', 669464]
['contig-0109488', 669447]
['contig-0093896', 669161]
['contig-0001123', 668023]
['contig-0030785', 667920]
['contig-0042373', 667817]
['contig-0117409', 667277]
['contig-0008187', 667246]
['contig-0026734', 666770]
['contig-0052997', 665108]
['contig-0052527', 665030]
['contig-0000419', 665018]
['contig-0109704', 664869]
['contig-0125511', 664796]
['contig-0012788', 664679]
['contig-0062200', 664617]
['contig-0098230', 664484]
['contig-0061008', 664098]
['contig-0062774', 663713]
['contig-0101008', 663500]
['contig-0013082', 663398]
['contig-0010338', 663207]
['contig-0018718', 662728]
['contig-0082821', 662409]
['contig-0005088', 661927]
['contig-0055556', 661620]
['contig-0047544', 660831]
['contig-0090307', 660791]
['contig-0041312', 660593]
['contig-0022775', 660549]
['contig-0008478', 660489]
['contig-0039352', 660479]
['contig-0077106', 660222]
['contig-0103496', 660093]
['contig-0092695', 659566]
['contig-0098722', 659240]
['contig-0043960', 659169]
['contig-0082079', 657971]
['contig-0042287', 657910]
['contig-0082257', 657691]
['contig-0057624', 657632]
['contig-0067823', 657010]
['contig-0053561', 656894]
['contig-0093926', 656765]
['contig-0047147', 655700]
['contig-0120106', 655040]
['contig-0034613', 653985]
['contig-0102413', 653974]
['contig-0089742', 653845]
['contig-0108663', 653716]
['contig-0081040', 652823]
['contig-0053311', 651947]
['contig-0067211', 650983]
['contig-0016032', 650649]
['contig-0001291', 648935]
['contig-0114421', 648479]
['contig-0081739', 648274]
['contig-0063797', 648132]
['contig-0103613', 646930]
['contig-0117740', 646884]
['contig-0062308', 646775]
['contig-0101811', 646604]
['contig-0074747', 645826]
['contig-0000560', 645075]
['contig-0067055', 644699]
['contig-0121089', 644000]
['contig-0017192', 643824]
['contig-0015665', 643694]
['contig-0028820', 642692]
['contig-0012514', 641719]
['contig-0121902', 640657]
['contig-0039636', 640600]
['contig-0032613', 639209]
['contig-0001893', 639041]
['contig-0043534', 638946]
['contig-0114428', 638931]
['contig-0088110', 638925]
['contig-0023416', 638650]
['contig-0029340', 638566]
['contig-0031618', 637830]
['contig-0056270', 637818]
['contig-0087271', 637574]
['contig-0041601', 636929]
['contig-0099519', 635474]
['contig-0127891', 634407]
['contig-0057721', 634241]
['contig-0085416', 633950]
['contig-0008526', 633500]
['contig-0069130', 633261]
['contig-0071478', 632697]
['contig-0045818', 632493]
['contig-0047240', 631569]
['contig-0048509', 630337]
['contig-0092201', 628848]
['contig-0061152', 627547]
['contig-0126555', 627080]
['contig-0064029', 626843]
['contig-0113866', 625225]
['contig-0076809', 624261]
['contig-0014410', 623899]
['contig-0106061', 623796]
['contig-0090803', 623728]
['contig-0080664', 623131]
['contig-0045078', 622840]
['contig-0109172', 622576]
['contig-0039219', 622381]
['contig-0108841', 622259]
['contig-0040947', 622258]
['contig-0122969', 621472]
['contig-0001600', 620964]
['contig-0072121', 620496]
['contig-0031660', 620329]
['contig-0117983', 619314]
['contig-0042425', 618987]
['contig-0127391', 618718]
['contig-0042897', 617912]
['contig-0008862', 617835]
['contig-0063630', 617752]
['contig-0103541', 617568]
['contig-0120893', 617093]
['contig-0084734', 617068]
['contig-0049408', 616893]
['contig-0020310', 616717]
['contig-0062089', 616173]
['contig-0119265', 616128]
['contig-0060127', 615064]
['contig-0043190', 614839]
['contig-0057534', 614362]
['contig-0047290', 614061]
['contig-0012931', 614034]
['contig-0128196', 613782]
['contig-0056072', 613584]
['contig-0053163', 613452]
['contig-0032837', 613435]
['contig-0117247', 613325]
['contig-0076775', 613050]
['contig-0026542', 611666]
['contig-0037643', 611101]
['contig-0082445', 610988]
['contig-0117078', 610561]
['contig-0071488', 610552]
['contig-0040535', 610143]
['contig-0051359', 609822]
['contig-0055515', 609031]
['contig-0078366', 608982]
['contig-0048437', 608843]
['contig-0119266', 608380]
['contig-0072740', 608299]
['contig-0032121', 608139]
['contig-0053185', 607796]
['contig-0097834', 607767]
['contig-0066223', 607659]
['contig-0072475', 607557]
['contig-0068036', 607256]
['contig-0115416', 606460]
['contig-0075642', 606193]
['contig-0044452', 606146]
['contig-0018627', 605986]
['contig-0028462', 605446]
['contig-0126233', 604752]
['contig-0082129', 604556]
['contig-0065782', 604369]
['contig-0014630', 603627]
['contig-0114781', 603462]
['contig-0067004', 603387]
['contig-0010866', 603102]
['contig-0010365', 602997]
['contig-0052593', 602071]
['contig-0102828', 601376]
['contig-0022199', 601198]
['contig-0063990', 601126]
['contig-0033806', 601065]
['contig-0041643', 600294]
['contig-0039844', 599434]
['contig-0054669', 599092]
['contig-0117961', 599047]
['contig-0027737', 598916]
['contig-0082624', 598543]
['contig-0000183', 598175]
['contig-0068634', 597851]
['contig-0061422', 597831]
['contig-0049686', 596503]
['contig-0100651', 596128]
['contig-0103031', 595888]
['contig-0104078', 595865]
['contig-0123202', 595863]
['contig-0067024', 595765]
['contig-0113873', 595523]
['contig-0118957', 595282]
['contig-0033458', 595079]
['contig-0100277', 594931]
['contig-0012976', 594904]
['contig-0043912', 594488]
['contig-0043222', 593952]
['contig-0018854', 593068]
['contig-0059591', 592426]
['contig-0122296', 592078]
['contig-0067791', 592044]
['contig-0083186', 591902]
['contig-0043881', 591792]
['contig-0114733', 591525]
['contig-0072908', 591474]
['contig-0079859', 590761]
['contig-0067752', 589937]
['contig-0042005', 589866]
['contig-0067794', 589354]
['contig-0000857', 589065]
['contig-0010268', 588939]
['contig-0105099', 588351]
['contig-0061089', 588293]
['contig-0067806', 588064]
['contig-0090312', 587550]
['contig-0038550', 587341]
['contig-0049771', 586490]
['contig-0081028', 586231]
['contig-0083117', 586024]
['contig-0104218', 585230]
['contig-0108709', 585187]
['contig-0086554', 584892]
['contig-0007899', 584747]
['contig-0031836', 584665]
['contig-0052676', 584067]
['contig-0012358', 583990]
['contig-0022755', 583803]
['contig-0121790', 583584]
['contig-0120392', 583432]
['contig-0023221', 582167]
['contig-0047619', 581917]
['contig-0011505', 581859]
['contig-0028438', 581859]
['contig-0100305', 580766]
['contig-0093625', 579865]
