['contig_12507', 1080899]
['contig_7060', 364406]
['contig_12865', 364057]
['contig_25284', 363959]
['contig_20573', 363136]
['contig_16105', 362538]
['contig_34863', 362484]
['contig_56372', 361122]
['contig_60113', 360199]
['contig_19605', 360155]
['contig_5507', 359071]
['contig_84077', 358465]
['contig_30184', 357430]
['contig_30212', 357344]
['contig_22254', 357127]
['contig_6377', 356520]
['contig_57986', 355689]
['contig_28594', 355571]
['contig_36372', 352778]
['contig_59491', 352531]
['contig_66345', 352463]
['contig_36953', 351855]
['contig_35108', 350460]
['contig_46199', 349261]
['contig_6232', 346256]
['contig_13248', 346054]
['contig_46527', 345413]
['contig_13875', 345326]
['contig_81566', 345257]
['contig_11314', 345227]
['contig_11037', 344588]
['contig_77322', 344332]
['contig_82790', 343006]
['contig_8578', 342791]
['contig_23529', 342629]
['contig_27627', 342515]
['contig_3399', 342236]
['contig_35510', 342203]
['contig_15857', 341988]
['contig_2928', 341905]
['contig_71789', 341651]
['contig_49694', 341230]
['contig_23127', 340392]
['contig_8426', 340388]
['contig_27457', 340108]
['contig_21750', 339837]
['contig_61876', 339452]
['contig_34394', 339420]
['contig_1898', 339098]
['contig_2751', 338652]
['contig_12624', 338562]
['contig_37078', 338002]
['contig_12914', 337328]
['contig_25332', 337234]
['contig_17478', 337075]
['contig_39395', 336928]
['contig_70643', 336668]
['contig_40590', 336402]
['contig_85837', 335892]
['contig_5879', 335816]
['contig_38619', 335546]
['contig_12867', 335462]
['contig_20123', 335414]
['contig_11229', 334521]
['contig_59286', 334153]
['contig_65159', 333439]
['contig_37579', 333231]
['contig_3138', 332432]
['contig_66988', 332306]
['contig_58330', 332138]
['contig_42073', 332088]
['contig_9067', 331728]
['contig_2193', 331102]
['contig_22426', 330839]
['contig_16160', 330604]
['contig_39297', 330571]
['contig_58154', 330517]
['contig_59052', 330208]
['contig_59418', 330148]
['contig_18312', 329397]
['contig_24255', 329006]
['contig_36653', 328641]
['contig_35635', 327215]
['contig_15357', 326888]
['contig_29513', 326325]
['contig_83930', 326306]
['contig_20511', 325722]
['contig_16168', 325549]
['contig_12274', 325515]
['contig_15640', 325446]
['contig_8038', 325329]
['contig_27088', 325165]
['contig_33788', 324770]
['contig_23433', 324621]
['contig_15941', 324415]
['contig_20887', 324298]
['contig_50655', 323698]
['contig_18724', 323201]
['contig_19598', 322508]
['contig_79034', 322149]
['contig_44401', 322034]
['contig_12613', 321858]
['contig_39094', 321823]
['contig_40632', 320961]
['contig_10660', 320780]
['contig_29849', 320398]
['contig_38850', 320353]
['contig_22097', 320253]
['contig_45936', 320136]
['contig_74553', 320126]
['contig_62709', 320055]
['contig_28201', 320028]
['contig_33136', 319727]
['contig_43755', 319387]
['contig_53513', 319219]
['contig_21298', 319054]
['contig_2936', 318269]
['contig_30115', 318188]
['contig_17619', 318136]
['contig_39526', 317472]
['contig_33612', 317208]
['contig_51996', 317009]
['contig_22746', 316970]
['contig_10097', 316797]
['contig_25420', 316767]
['contig_71376', 316474]
['contig_16074', 316454]
['contig_39851', 316202]
['contig_12377', 316150]
['contig_20303', 315969]
['contig_11010', 315946]
['contig_24020', 315726]
['contig_86987', 315292]
['contig_99553', 314838]
['contig_43183', 314579]
['contig_26936', 314039]
['contig_32318', 314015]
['contig_28791', 313471]
['contig_32904', 313124]
['contig_60678', 312094]
['contig_1922', 311770]
['contig_4804', 311336]
['contig_36972', 311328]
['contig_2305', 310457]
['contig_19176', 310265]
['contig_55166', 310240]
['contig_12360', 309846]
['contig_6380', 309637]
['contig_17555', 309312]
['contig_9686', 309304]
['contig_5438', 309235]
['contig_7321', 308856]
['contig_41865', 308580]
['contig_34194', 308213]
['contig_32260', 306996]
['contig_52336', 306950]
['contig_56040', 306789]
['contig_68565', 306739]
['contig_61487', 306669]
['contig_4470', 306498]
['contig_19724', 306261]
['contig_37686', 305766]
['contig_33292', 305754]
['contig_33165', 305213]
['contig_64202', 304916]
['contig_60269', 304584]
['contig_14446', 304437]
['contig_79608', 304345]
['contig_18227', 304254]
['contig_28186', 304129]
['contig_11497', 304016]
['contig_26565', 303903]
['contig_29017', 303687]
['contig_23265', 303284]
['contig_13491', 302598]
['contig_31806', 302521]
['contig_23773', 302502]
['contig_37992', 302494]
['contig_71725', 301947]
['contig_27503', 301781]
['contig_19834', 301485]
['contig_71213', 301417]
['contig_54634', 301344]
['contig_16977', 301237]
['contig_20263', 300891]
['contig_17840', 300876]
['contig_35159', 300822]
['contig_3853', 300812]
['contig_25846', 300311]
['contig_34409', 300301]
['contig_30424', 300233]
['contig_51203', 299857]
['contig_49834', 299753]
['contig_18339', 299703]
['contig_23352', 299564]
['contig_25564', 299217]
['contig_11300', 299116]
['contig_16100', 298711]
['contig_72170', 298594]
['contig_48197', 298509]
['contig_59647', 298495]
['contig_92497', 298483]
['contig_71508', 298088]
['contig_44322', 298043]
['contig_24530', 297615]
['contig_278', 297552]
['contig_58976', 296864]
['contig_20753', 296780]
['contig_18614', 296718]
['contig_58287', 296686]
['contig_1110', 296678]
['contig_18085', 296260]
['contig_11553', 295823]
['contig_20689', 295755]
['contig_22138', 295736]
['contig_24195', 295367]
['contig_30030', 295314]
['contig_51865', 295241]
['contig_22885', 295193]
['contig_11695', 295094]
['contig_2692', 295047]
['contig_21046', 294882]
['contig_4699', 294790]
['contig_26222', 294397]
['contig_35473', 294342]
['contig_38243', 293049]
['contig_47968', 292955]
['contig_50421', 292821]
['contig_19325', 292489]
['contig_54753', 292212]
['contig_52228', 291798]
['contig_14576', 291551]
['contig_40257', 291175]
['contig_20634', 291170]
['contig_22882', 291138]
['contig_72813', 291065]
['contig_75875', 290789]
['contig_24433', 290197]
['contig_6977', 290170]
['contig_53794', 289992]
['contig_17137', 289735]
['contig_4464', 289714]
['contig_40231', 289556]
['contig_16274', 289541]
['contig_36551', 289436]
['contig_34246', 289095]
['contig_788', 288926]
['contig_6480', 288456]
['contig_13160', 288234]
['contig_98660', 288113]
['contig_8331', 287972]
['contig_13579', 287583]
['contig_2445', 287276]
['contig_77353', 287160]
['contig_31185', 287134]
['contig_50977', 287020]
['contig_43526', 286640]
['contig_29227', 286628]
['contig_72070', 286096]
['contig_8556', 285674]
['contig_62547', 285302]
['contig_51496', 285049]
['contig_6158', 284769]
['contig_54714', 284648]
['contig_9681', 284460]
['contig_6929', 283742]
['contig_49926', 283596]
['contig_2373', 283515]
['contig_39070', 283363]
['contig_24398', 282900]
['contig_67687', 282713]
['contig_67957', 282406]
['contig_47493', 282332]
['contig_80034', 282259]
['contig_21922', 282116]
['contig_58018', 281733]
['contig_20506', 281730]
['contig_47128', 281533]
['contig_7064', 281308]
['contig_53727', 281294]
['contig_15273', 281160]
['contig_82074', 281044]
['contig_60302', 280994]
['contig_5486', 280822]
['contig_22497', 280597]
['contig_36411', 280442]
['contig_65263', 280435]
['contig_47225', 280429]
['contig_32120', 280398]
['contig_58081', 279756]
['contig_76804', 278866]
['contig_56763', 278678]
['contig_47029', 278440]
['contig_45164', 278377]
['contig_58566', 278087]
['contig_20998', 277986]
['contig_2131', 277686]
['contig_70588', 277212]
['contig_8085', 276881]
['contig_58947', 276801]
['contig_65308', 276788]
['contig_1138', 276610]
['contig_64203', 276545]
['contig_10497', 276140]
['contig_3051', 275909]
['contig_60051', 275502]
['contig_73011', 275261]
['contig_32', 275245]
['contig_8192', 275096]
['contig_76691', 274955]
['contig_61668', 274916]
['contig_36767', 274564]
['contig_32561', 274406]
['contig_21175', 274219]
['contig_56030', 274167]
['contig_9656', 274086]
['contig_7046', 274027]
['contig_63523', 273945]
['contig_10002', 273611]
['contig_88450', 273419]
['contig_11834', 273355]
['contig_44819', 273123]
['contig_23474', 273008]
['contig_34859', 272949]
['contig_5476', 272894]
['contig_63266', 272885]
['contig_71937', 272801]
['contig_26733', 272548]
['contig_19863', 272445]
['contig_82879', 272386]
['contig_8989', 272250]
['contig_30220', 272199]
['contig_11398', 271766]
['contig_82465', 271458]
['contig_48386', 270975]
['contig_87087', 270933]
['contig_53503', 270872]
['contig_10728', 270684]
['contig_70203', 270653]
['contig_9029', 270649]
['contig_21735', 270615]
['contig_32572', 269984]
['contig_68655', 269520]
['contig_27579', 269469]
['contig_59763', 269269]
['contig_6476', 269117]
['contig_28316', 268825]
['contig_7024', 268488]
['contig_41998', 268422]
['contig_82408', 268051]
['contig_26717', 267968]
['contig_30276', 267880]
['contig_19359', 267752]
['contig_62530', 267501]
['contig_53577', 267471]
['contig_2521', 267449]
['contig_28553', 267120]
['contig_13482', 267093]
['contig_20944', 266990]
['contig_47096', 266960]
['contig_11839', 266774]
['contig_67730', 266689]
['contig_72670', 266491]
['contig_58504', 266109]
['contig_53653', 266007]
['contig_69410', 265776]
['contig_62121', 265037]
['contig_78637', 264940]
['contig_25329', 264928]
['contig_26208', 264920]
['contig_34070', 264919]
['contig_2216', 264758]
['contig_61615', 264603]
['contig_75046', 264544]
['contig_48504', 264206]
['contig_9496', 264120]
['contig_56474', 264049]
['contig_5993', 263813]
['contig_59037', 263534]
['contig_2676', 263515]
['contig_72026', 263439]
['contig_101872', 263367]
['contig_73520', 263192]
['contig_23742', 263048]
['contig_34211', 262930]
['contig_56402', 262839]
['contig_16086', 262672]
['contig_40517', 262612]
['contig_13902', 262407]
['contig_33820', 262000]
['contig_80125', 261992]
['contig_24418', 261951]
['contig_38890', 261825]
['contig_27968', 261807]
['contig_6241', 261790]
['contig_31380', 261686]
['contig_65233', 261552]
['contig_94540', 261467]
['contig_9778', 261070]
['contig_54213', 260949]
['contig_34186', 260946]
['contig_60774', 260611]
['contig_31922', 260568]
['contig_995', 260489]
['contig_40757', 260488]
['contig_69813', 260237]
['contig_24629', 260167]
['contig_15717', 260147]
['contig_9788', 260099]
['contig_11001', 259901]
['contig_16812', 259720]
['contig_82727', 259638]
['contig_83816', 259547]
['contig_14339', 259439]
['contig_82205', 259428]
['contig_22274', 259407]
['contig_19526', 259310]
['contig_56665', 259065]
['contig_13932', 258676]
['contig_64387', 258607]
['contig_59315', 258586]
['contig_52447', 258465]
['contig_70447', 258442]
['contig_19629', 258354]
['contig_52749', 258162]
['contig_64593', 257963]
['contig_14488', 257744]
['contig_36739', 257093]
['contig_91566', 256680]
['contig_1266', 256440]
['contig_18059', 256257]
['contig_41867', 256235]
['contig_59226', 256188]
['contig_17342', 256185]
['contig_28090', 256123]
['contig_58133', 255489]
['contig_13062', 255119]
['contig_35302', 255088]
['contig_39028', 255085]
['contig_66385', 254725]
['contig_27432', 254529]
['contig_21284', 254523]
['contig_38494', 254432]
['contig_8710', 254328]
['contig_56475', 254186]
['contig_29327', 253977]
['contig_45946', 253869]
['contig_30224', 253780]
['contig_5003', 253637]
['contig_63557', 253592]
['contig_58579', 253589]
['contig_55107', 253418]
['contig_19147', 253347]
['contig_81927', 253168]
['contig_74568', 253149]
['contig_42837', 252910]
['contig_22900', 252720]
['contig_60745', 252644]
['contig_5773', 252613]
['contig_30104', 252290]
['contig_2011', 252125]
['contig_9384', 252059]
['contig_54309', 251815]
['contig_21820', 251782]
['contig_13533', 251752]
['contig_54089', 251738]
['contig_4195', 251328]
['contig_38950', 251320]
['contig_27061', 251205]
['contig_72945', 251185]
['contig_64174', 250749]
['contig_7471', 250621]
['contig_45734', 250569]
['contig_44309', 250501]
['contig_4798', 250464]
['contig_1857', 250447]
['contig_75915', 250394]
['contig_51969', 250356]
['contig_1048', 250206]
['contig_19994', 250187]
['contig_21530', 250173]
['contig_5972', 249834]
['contig_32195', 249773]
['contig_10003', 249728]
['contig_41641', 249706]
['contig_63873', 249704]
['contig_55304', 249433]
['contig_31300', 249331]
['contig_74605', 249239]
['contig_5662', 249017]
['contig_96883', 248821]
['contig_27920', 248684]
['contig_9562', 248663]
['contig_50174', 248662]
['contig_32903', 248510]
['contig_66567', 248463]
['contig_1593', 248373]
['contig_39279', 248248]
['contig_14710', 248136]
['contig_8817', 248130]
['contig_15180', 247968]
['contig_71672', 247878]
['contig_11323', 247877]
['contig_56156', 247721]
['contig_28116', 247554]
['contig_75862', 247448]
['contig_50413', 247348]
['contig_4708', 247319]
['contig_58699', 247252]
['contig_31812', 247231]
['contig_84918', 247220]
['contig_60624', 247185]
['contig_73570', 247176]
['contig_19820', 247149]
['contig_42352', 246939]
['contig_39680', 246693]
['contig_59151', 246665]
['contig_12473', 246525]
['contig_41837', 246502]
['contig_26019', 246423]
['contig_38563', 246335]
['contig_44092', 246130]
['contig_7467', 245971]
['contig_48980', 245933]
['contig_54748', 245462]
['contig_9518', 245253]
['contig_43517', 245216]
['contig_37556', 245182]
['contig_59153', 245038]
['contig_23652', 244904]
['contig_19180', 244836]
['contig_19356', 244485]
['contig_22866', 244251]
['contig_59789', 244104]
['contig_40410', 243997]
['contig_2144', 243710]
['contig_44966', 243668]
['contig_69960', 243492]
['contig_14461', 243384]
['contig_49503', 243371]
['contig_25150', 243235]
['contig_76649', 243043]
['contig_24250', 242854]
['contig_33544', 242762]
['contig_35768', 242474]
['contig_88047', 242454]
['contig_67971', 242320]
['contig_23866', 242135]
['contig_400', 241537]
['contig_35684', 241402]
['contig_80857', 241286]
['contig_32456', 241270]
['contig_21245', 241249]
['contig_37458', 241149]
['contig_97267', 241140]
['contig_45001', 241131]
['contig_67535', 241118]
['contig_15913', 241081]
['contig_15887', 240932]
['contig_59927', 240843]
['contig_65321', 240830]
['contig_1680', 240818]
['contig_83791', 240680]
['contig_19522', 240643]
['contig_24500', 240541]
['contig_1603', 240410]
['contig_25826', 240225]
['contig_33228', 240224]
['contig_54796', 240155]
['contig_33468', 240120]
['contig_55884', 240066]
['contig_36514', 239994]
['contig_31273', 239942]
['contig_22285', 239564]
['contig_52251', 239522]
['contig_27790', 239488]
['contig_26546', 239374]
['contig_22943', 239353]
['contig_12607', 239313]
['contig_50453', 238967]
['contig_61571', 238959]
['contig_34417', 238742]
['contig_11156', 238635]
['contig_76086', 238415]
['contig_41831', 238238]
['contig_75712', 238141]
['contig_81794', 238017]
['contig_48485', 237938]
['contig_97320', 237817]
['contig_1127', 237784]
['contig_6794', 237595]
['contig_69751', 237560]
['contig_11440', 237406]
['contig_5094', 237240]
['contig_82043', 237126]
['contig_20628', 237117]
['contig_67385', 237117]
['contig_5093', 236970]
['contig_39116', 236907]
['contig_80218', 236662]
['contig_42378', 236622]
['contig_34602', 236604]
['contig_20583', 236578]
['contig_19227', 236461]
['contig_23752', 236306]
['contig_52992', 235970]
['contig_112135', 235540]
['contig_10990', 235478]
['contig_71335', 235407]
['contig_15417', 235400]
['contig_75149', 235394]
['contig_32346', 235389]
['contig_22171', 235329]
['contig_44544', 235236]
['contig_10126', 235219]
['contig_5119', 235105]
['contig_7602', 234891]
['contig_2363', 234744]
['contig_20000', 234672]
['contig_12930', 234479]
['contig_13711', 234337]
['contig_26920', 234303]
['contig_59719', 234277]
['contig_22857', 233982]
['contig_107413', 233926]
['contig_16485', 233840]
['contig_35928', 233839]
['contig_11189', 233811]
['contig_35667', 233727]
['contig_10127', 233640]
['contig_83029', 233565]
['contig_6509', 233563]
['contig_12550', 233563]
['contig_22931', 233556]
['contig_42187', 233254]
['contig_9287', 233242]
['contig_63634', 233096]
['contig_19151', 233071]
['contig_12083', 232980]
['contig_6512', 232944]
['contig_41457', 232932]
['contig_87739', 232582]
['contig_16087', 232549]
['contig_15608', 232544]
['contig_47125', 232469]
['contig_10775', 232255]
['contig_30153', 232176]
['contig_105889', 232112]
['contig_56129', 231936]
['contig_44089', 231831]
['contig_17471', 231765]
['contig_44410', 231603]
['contig_70144', 231452]
['contig_38922', 231448]
['contig_21929', 231418]
['contig_53144', 231366]
['contig_11508', 231270]
['contig_37395', 231218]
['contig_57764', 231203]
['contig_53554', 231054]
['contig_68757', 231010]
['contig_32525', 230994]
['contig_19469', 230889]
['contig_12774', 230577]
['contig_37993', 230171]
['contig_3440', 230056]
['contig_23676', 230001]
['contig_49157', 229980]
['contig_15060', 229902]
['contig_69836', 229795]
['contig_29396', 229757]
['contig_62483', 229735]
['contig_45325', 229735]
['contig_21879', 229727]
['contig_43159', 229712]
['contig_58672', 229681]
['contig_14177', 229650]
['contig_66588', 229480]
['contig_38699', 229478]
['contig_73212', 229295]
['contig_82475', 229247]
['contig_46454', 229171]
['contig_71963', 229162]
['contig_8807', 229106]
['contig_23663', 228863]
['contig_38311', 228861]
['contig_29974', 228805]
['contig_24488', 228782]
['contig_70948', 228575]
['contig_26964', 228557]
['contig_49940', 228512]
['contig_14008', 228249]
['contig_66344', 228237]
['contig_1921', 228168]
['contig_58739', 228105]
['contig_42512', 227784]
['contig_17566', 227767]
['contig_38076', 227585]
['contig_1011', 226968]
['contig_28783', 226784]
['contig_102729', 226640]
['contig_29038', 226416]
['contig_9696', 226360]
['contig_73476', 226336]
['contig_47187', 226298]
['contig_76614', 226089]
['contig_78570', 226081]
['contig_21318', 225887]
['contig_23566', 225839]
['contig_69297', 225740]
['contig_1083', 225710]
['contig_77847', 225638]
['contig_62943', 225605]
['contig_34205', 225520]
['contig_14856', 225516]
['contig_7710', 225477]
['contig_40308', 225473]
['contig_56655', 225374]
['contig_28533', 225306]
['contig_60798', 225295]
['contig_30851', 225272]
['contig_38695', 225180]
['contig_72526', 224999]
['contig_55708', 224979]
['contig_57100', 224913]
['contig_4482', 224800]
['contig_39075', 224770]
['contig_26034', 224483]
['contig_78095', 224406]
['contig_32495', 224357]
['contig_70137', 224325]
['contig_75514', 224303]
['contig_31166', 224278]
['contig_46569', 224197]
['contig_15078', 224109]
['contig_86972', 223867]
['contig_584', 223574]
['contig_27448', 223447]
['contig_39049', 223254]
['contig_54365', 223057]
['contig_5519', 223009]
['contig_49779', 222802]
['contig_8258', 222800]
['contig_36727', 222621]
['contig_26779', 222410]
['contig_45415', 222396]
['contig_64872', 222314]
['contig_13023', 222067]
['contig_40910', 222012]
['contig_52713', 221948]
['contig_1792', 221938]
['contig_85195', 221896]
['contig_23453', 221895]
['contig_22152', 221742]
['contig_76266', 221705]
['contig_616', 221667]
['contig_78393', 221547]
['contig_58026', 221480]
['contig_17884', 221372]
['contig_22979', 221351]
['contig_52471', 221124]
['contig_22040', 221113]
['contig_86969', 220973]
['contig_16254', 220885]
['contig_23903', 220872]
['contig_64751', 220771]
['contig_31869', 220632]
['contig_71893', 220608]
['contig_59414', 220598]
['contig_18438', 220016]
['contig_47859', 219999]
['contig_23778', 219909]
['contig_34416', 219722]
['contig_29065', 219541]
['contig_101965', 219532]
['contig_25797', 219414]
['contig_23516', 219380]
['contig_98428', 219350]
['contig_63750', 219344]
['contig_66692', 219111]
['contig_50625', 219083]
['contig_42233', 219080]
['contig_76315', 219004]
['contig_21985', 218921]
['contig_55131', 218851]
['contig_62237', 218834]
['contig_81226', 218732]
['contig_60428', 218675]
['contig_44962', 218570]
['contig_72734', 218568]
['contig_8654', 218554]
['contig_81880', 218547]
['contig_30947', 218516]
['contig_55282', 218321]
['contig_13310', 218292]
['contig_65691', 218198]
['contig_24731', 218192]
['contig_53572', 218141]
['contig_10055', 218135]
['contig_47159', 218069]
['contig_70479', 218060]
['contig_85827', 218001]
['contig_32999', 217916]
['contig_72069', 217847]
['contig_6643', 217786]
['contig_48748', 217715]
['contig_69351', 217681]
['contig_54899', 217675]
['contig_2941', 217584]
['contig_89704', 217401]
['contig_56028', 217371]
['contig_41933', 217355]
['contig_60676', 217209]
['contig_1662', 217180]
['contig_74762', 216933]
['contig_19097', 216818]
['contig_60444', 216801]
['contig_62716', 216765]
['contig_25688', 216671]
['contig_16582', 216625]
['contig_33251', 216612]
['contig_36890', 216525]
['contig_21146', 216484]
['contig_1545', 216479]
['contig_44369', 216308]
['contig_72388', 216170]
['contig_3596', 216166]
['contig_66158', 216139]
['contig_26266', 216037]
['contig_85433', 216034]
['contig_22558', 215917]
['contig_4498', 215775]
['contig_48353', 215740]
['contig_38487', 215717]
['contig_44707', 215658]
['contig_4762', 215636]
['contig_11460', 215611]
['contig_32983', 215584]
['contig_31561', 215553]
['contig_56018', 215463]
['contig_3700', 215447]
['contig_76251', 215446]
['contig_15502', 215436]
['contig_21089', 215387]
['contig_52409', 215181]
['contig_27766', 215110]
['contig_73431', 214949]
['contig_22762', 214886]
['contig_7926', 214879]
['contig_101495', 214864]
['contig_38092', 214733]
['contig_57049', 214702]
['contig_26732', 214701]
['contig_18237', 214366]
['contig_75405', 214284]
['contig_35085', 214262]
['contig_13428', 214121]
['contig_3574', 214111]
['contig_13524', 213958]
['contig_71131', 213848]
['contig_34214', 213700]
['contig_13163', 213558]
['contig_23057', 213500]
['contig_8505', 213285]
['contig_42393', 213279]
['contig_38981', 213112]
['contig_2226', 213066]
['contig_29115', 212856]
['contig_51697', 212843]
['contig_13785', 212808]
['contig_40234', 212667]
['contig_32239', 212525]
['contig_74690', 212439]
['contig_30029', 212410]
['contig_34393', 212294]
['contig_95065', 212219]
['contig_37618', 212204]
['contig_58745', 212098]
['contig_24551', 211991]
['contig_8486', 211919]
['contig_24083', 211911]
['contig_81056', 211836]
['contig_59752', 211794]
['contig_99045', 211702]
['contig_52702', 211685]
['contig_4545', 211644]
['contig_5710', 211594]
['contig_14395', 211576]
['contig_65216', 211520]
['contig_23332', 211411]
['contig_68107', 211408]
['contig_19876', 211338]
['contig_45421', 211335]
['contig_87997', 211332]
['contig_82213', 211257]
['contig_120664', 211217]
['contig_19385', 211197]
['contig_11551', 211161]
['contig_59839', 211147]
['contig_25570', 211119]
['contig_56388', 211107]
['contig_15375', 211082]
['contig_47942', 211038]
['contig_64388', 210952]
['contig_55862', 210901]
['contig_60933', 210873]
['contig_64996', 210775]
['contig_37945', 210766]
['contig_17190', 210672]
['contig_44365', 210480]
['contig_77053', 210475]
['contig_56157', 210323]
['contig_13086', 210316]
['contig_16264', 210217]
['contig_32608', 210057]
['contig_3037', 209992]
['contig_54313', 209912]
['contig_68573', 209875]
['contig_58360', 209865]
['contig_26619', 209783]
['contig_49038', 209758]
['contig_68531', 209732]
['contig_12088', 209668]
['contig_19854', 209648]
['contig_60986', 209573]
['contig_16447', 209491]
['contig_63672', 209453]
['contig_31979', 209369]
['contig_11207', 209292]
['contig_25142', 209268]
['contig_41381', 209204]
['contig_47446', 209074]
['contig_66569', 208999]
['contig_38051', 208979]
['contig_70143', 208973]
['contig_38054', 208916]
['contig_56216', 208770]
['contig_2639', 208731]
['contig_2396', 208717]
['contig_78641', 208717]
['contig_51350', 208624]
['contig_61917', 208622]
['contig_85753', 208616]
['contig_8360', 208609]
['contig_21905', 208334]
['contig_86488', 208282]
['contig_3501', 208188]
['contig_37697', 208181]
['contig_42721', 208131]
['contig_6245', 208071]
['contig_14250', 208030]
['contig_22948', 207923]
['contig_20709', 207909]
['contig_49863', 207875]
['contig_22933', 207859]
['contig_61631', 207823]
['contig_12195', 207786]
['contig_49119', 207760]
['contig_59733', 207745]
['contig_33458', 207688]
['contig_6490', 207654]
['contig_23873', 207529]
['contig_48384', 207476]
['contig_46034', 207465]
['contig_59193', 207400]
['contig_25509', 207386]
['contig_59880', 207370]
['contig_15782', 207311]
['contig_67098', 207225]
['contig_18214', 207079]
['contig_67282', 207055]
['contig_16719', 207047]
['contig_35494', 207024]
['contig_50209', 206905]
['contig_38159', 206905]
['contig_90434', 206870]
['contig_85424', 206708]
['contig_11592', 206688]
['contig_63001', 206620]
['contig_13349', 206573]
['contig_74168', 206490]
