['DEINVI_00007', 132903021]
['DEINVI_00122', 181500]
['DEINVI_00022', 177261]
['DEINVI_00131', 165500]
['DEINVI_00199', 163000]
['DEINVI_00236', 158029]
['DEINVI_00047', 157000]
['DEINVI_00169', 153500]
['DEINVI_00239', 152565]
['DEINVI_00064', 152000]
['DEINVI_00071', 148500]
['DEINVI_00118', 148351]
['DEINVI_03119', 147819]
['DEINVI_00061', 147500]
['DEINVI_00241', 145501]
['DEINVI_00243', 141160]
['DEINVI_00240', 140866]
['DEINVI_00246', 139179]
['DEINVI_00245', 139000]
['DEINVI_03447', 137746]
['DEINVI_03487', 136425]
['DEINVI_00190', 136000]
['DEINVI_02766', 135617]
['DEINVI_00065', 135500]
['DEINVI_00244', 135458]
['DEINVI_00248', 133883]
['DEINVI_00212', 131500]
['DEINVI_03630', 131393]
['DEINVI_03645', 130541]
['DEINVI_00205', 130500]
['DEINVI_00247', 129486]
['DEINVI_00121', 129230]
['DEINVI_00238', 128176]
['DEINVI_00249', 125018]
['DEINVI_00035', 125000]
['DEINVI_00207', 123500]
['DEINVI_03934', 121988]
['DEINVI_03967', 121381]
['DEINVI_01067', 120160]
['DEINVI_00250', 120012]
['DEINVI_04042', 119427]
['DEINVI_00074', 118486]
['DEINVI_04088', 118039]
['DEINVI_00251', 117500]
['DEINVI_00252', 117490]
['DEINVI_00106', 116500]
['DEINVI_04119', 116301]
['DEINVI_00185', 116159]
['DEINVI_00145', 114594]
['DEINVI_00172', 114500]
['DEINVI_00112', 113000]
['DEINVI_00164', 113000]
['DEINVI_00108', 112500]
['DEINVI_00163', 112500]
['DEINVI_04251', 112406]
['DEINVI_00253', 111559]
['DEINVI_00103', 111500]
['DEINVI_04306', 111007]
['DEINVI_00188', 111000]
['DEINVI_00073', 110500]
['DEINVI_04343', 110037]
['DEINVI_00137', 110000]
['DEINVI_00966', 109991]
['DEINVI_00052', 109500]
['DEINVI_00068', 109500]
['DEINVI_02593', 108613]
['DEINVI_00981', 108049]
['DEINVI_02559', 107252]
['DEINVI_00825', 107079]
['DEINVI_02668', 104818]
['DEINVI_00257', 103658]
['DEINVI_02654', 103601]
['DEINVI_00255', 102242]
['DEINVI_04708', 101763]
['DEINVI_02089', 101507]
['DEINVI_04731', 101346]
['DEINVI_00256', 101244]
['DEINVI_00062', 101000]
['DEINVI_04765', 100287]
['DEINVI_01425', 99362]
['DEINVI_03449', 99258]
['DEINVI_00258', 99133]
['DEINVI_00104', 99000]
['DEINVI_00259', 99000]
['DEINVI_02342', 98262]
['DEINVI_04884', 98251]
['DEINVI_00261', 97280]
['DEINVI_04918', 97258]
['DEINVI_00260', 96937]
['DEINVI_01975', 96130]
['DEINVI_03060', 94309]
['DEINVI_05065', 94133]
['DEINVI_00263', 93752]
['DEINVI_00231', 93518]
['DEINVI_05106', 93509]
['DEINVI_00100', 93500]
['DEINVI_05117', 93265]
['DEINVI_05121', 93215]
['DEINVI_00860', 93155]
['DEINVI_05192', 91805]
['DEINVI_04101', 91498]
['DEINVI_00262', 90888]
['DEINVI_00135', 90500]
['DEINVI_00198', 90500]
['DEINVI_00200', 90500]
['DEINVI_05262', 90481]
['DEINVI_02907', 90142]
['DEINVI_01092', 90000]
['DEINVI_00757', 89999]
['DEINVI_01469', 89897]
['DEINVI_04413', 89877]
['DEINVI_00264', 89763]
['DEINVI_05302', 89734]
['DEINVI_03338', 88964]
['DEINVI_00143', 88499]
['DEINVI_00206', 88433]
['DEINVI_00265', 88406]
['DEINVI_03941', 88025]
['DEINVI_00192', 88000]
['DEINVI_02094', 87770]
['DEINVI_01838', 87425]
['DEINVI_05445', 87062]
['DEINVI_00059', 87000]
['DEINVI_02097', 86866]
['DEINVI_05455', 86795]
['DEINVI_05463', 86702]
['DEINVI_00063', 86500]
['DEINVI_00204', 86500]
['DEINVI_00266', 86454]
['DEINVI_04100', 86235]
['DEINVI_05479', 86213]
['DEINVI_00270', 86179]
['DEINVI_00267', 85707]
['DEINVI_00268', 85613]
['DEINVI_00269', 85539]
['DEINVI_02818', 85514]
['DEINVI_01840', 85127]
['DEINVI_02673', 83292]
['DEINVI_04005', 82991]
['DEINVI_00566', 82510]
['DEINVI_02366', 82205]
['DEINVI_04167', 82140]
['DEINVI_02718', 82013]
['DEINVI_00098', 82000]
['DEINVI_03440', 81950]
['DEINVI_04223', 81250]
['DEINVI_01905', 80942]
['DEINVI_04656', 80871]
['DEINVI_03927', 80742]
['DEINVI_05775', 80697]
['DEINVI_05776', 80650]
['DEINVI_03260', 80545]
['DEINVI_05787', 80464]
['DEINVI_03328', 80431]
['DEINVI_01040', 80419]
['DEINVI_03004', 80151]
['DEINVI_05806', 80150]
['DEINVI_03664', 79981]
['DEINVI_00271', 79725]
['DEINVI_01384', 79649]
['DEINVI_05829', 79438]
['DEINVI_01501', 79000]
['DEINVI_05857', 78893]
['DEINVI_05858', 78878]
['DEINVI_03237', 78552]
['DEINVI_05897', 78270]
['DEINVI_05902', 78072]
['DEINVI_03152', 77976]
['DEINVI_02046', 77803]
['DEINVI_03236', 77591]
['DEINVI_05947', 77492]
['DEINVI_05986', 76890]
['DEINVI_04669', 76886]
['DEINVI_00273', 76496]
['DEINVI_01184', 76386]
['DEINVI_06031', 76195]
['DEINVI_06033', 76177]
['DEINVI_01477', 76170]
['DEINVI_04780', 76123]
['DEINVI_04827', 75696]
['DEINVI_03656', 75658]
['DEINVI_06060', 75580]
['DEINVI_01920', 75521]
['DEINVI_03015', 75426]
['DEINVI_03180', 75395]
['DEINVI_00272', 75374]
['DEINVI_06097', 75083]
['DEINVI_02055', 75000]
['DEINVI_06114', 74857]
['DEINVI_06118', 74824]
['DEINVI_01672', 74821]
['DEINVI_03273', 74531]
['DEINVI_06159', 74201]
['DEINVI_06160', 74184]
['DEINVI_01984', 74127]
['DEINVI_02873', 74000]
['DEINVI_02966', 73998]
['DEINVI_00274', 73638]
['DEINVI_05341', 73402]
['DEINVI_05179', 73400]
['DEINVI_01832', 73394]
['DEINVI_00703', 73290]
['DEINVI_06228', 73126]
['DEINVI_02292', 73035]
['DEINVI_06239', 73004]
['DEINVI_00171', 73000]
['DEINVI_00659', 73000]
['DEINVI_05048', 72816]
['DEINVI_06261', 72654]
['DEINVI_06281', 72318]
['DEINVI_06282', 72266]
['DEINVI_00277', 72066]
['DEINVI_00276', 71817]
['DEINVI_04303', 71730]
['DEINVI_06318', 71665]
['DEINVI_00275', 71581]
['DEINVI_03763', 71580]
['DEINVI_06347', 71359]
['DEINVI_06348', 71349]
['DEINVI_05843', 71191]
['DEINVI_00279', 71033]
['DEINVI_00182', 71000]
['DEINVI_05369', 70983]
['DEINVI_02592', 70889]
['DEINVI_01446', 70859]
['DEINVI_00567', 70722]
['DEINVI_03804', 70627]
['DEINVI_06382', 70606]
['DEINVI_00092', 70500]
['DEINVI_00281', 70500]
['DEINVI_06400', 70477]
['DEINVI_00568', 70358]
['DEINVI_05250', 70296]
['DEINVI_00776', 70265]
['DEINVI_01919', 70194]
['DEINVI_04134', 70170]
['DEINVI_00278', 70054]
['DEINVI_03833', 70009]
['DEINVI_00280', 69919]
['DEINVI_03046', 69762]
['DEINVI_02132', 69759]
['DEINVI_01877', 69618]
['DEINVI_06443', 69455]
['DEINVI_06447', 69327]
['DEINVI_02331', 69132]
['DEINVI_04932', 69057]
['DEINVI_00152', 69000]
['DEINVI_00209', 69000]
['DEINVI_01976', 68925]
['DEINVI_06478', 68713]
['DEINVI_00282', 68575]
['DEINVI_06494', 68531]
['DEINVI_00193', 68500]
['DEINVI_01643', 68481]
['DEINVI_05466', 68428]
['DEINVI_04155', 68255]
['DEINVI_06521', 68083]
['DEINVI_06525', 68022]
['DEINVI_03948', 67973]
['DEINVI_06530', 67872]
['DEINVI_03423', 67841]
['DEINVI_04518', 67693]
['DEINVI_06542', 67680]
['DEINVI_00283', 67492]
['DEINVI_06579', 67022]
['DEINVI_02913', 67000]
['DEINVI_00285', 66864]
['DEINVI_00287', 66565]
['DEINVI_00286', 66464]
['DEINVI_04416', 66344]
['DEINVI_02102', 66282]
['DEINVI_01589', 66182]
['DEINVI_04014', 66150]
['DEINVI_03869', 66000]
['DEINVI_04419', 65881]
['DEINVI_01136', 65821]
['DEINVI_06645', 65790]
['DEINVI_00288', 65779]
['DEINVI_00284', 65703]
['DEINVI_05359', 65700]
['DEINVI_00289', 65484]
['DEINVI_05758', 65421]
['DEINVI_06682', 65255]
['DEINVI_01520', 65238]
['DEINVI_03683', 65233]
['DEINVI_06690', 65158]
['DEINVI_05297', 65143]
['DEINVI_02245', 65082]
['DEINVI_05570', 65075]
['DEINVI_06696', 65063]
['DEINVI_03135', 65017]
['DEINVI_06700', 65002]
['DEINVI_01640', 64978]
['DEINVI_03999', 64971]
['DEINVI_04236', 64843]
['DEINVI_06708', 64776]
['DEINVI_03838', 64753]
['DEINVI_06715', 64729]
['DEINVI_02335', 64649]
['DEINVI_04512', 64423]
['DEINVI_06731', 64413]
['DEINVI_04244', 64226]
['DEINVI_06756', 64072]
['DEINVI_00290', 63829]
['DEINVI_00293', 63746]
['DEINVI_00292', 63500]
['DEINVI_03226', 63401]
['DEINVI_06811', 63315]
['DEINVI_06825', 63146]
['DEINVI_02813', 63016]
['DEINVI_00036', 63000]
['DEINVI_01931', 63000]
['DEINVI_06845', 62929]
['DEINVI_02325', 62791]
['DEINVI_06860', 62756]
['DEINVI_06863', 62676]
['DEINVI_06864', 62653]
['DEINVI_00295', 62571]
['DEINVI_06876', 62527]
['DEINVI_06877', 62483]
['DEINVI_05712', 62441]
['DEINVI_02645', 62362]
['DEINVI_03048', 62337]
['DEINVI_04886', 62294]
['DEINVI_02636', 62113]
['DEINVI_06903', 62104]
['DEINVI_01681', 62000]
['DEINVI_02609', 61949]
['DEINVI_06908', 61928]
['DEINVI_06909', 61927]
['DEINVI_00294', 61879]
['DEINVI_06929', 61651]
['DEINVI_04392', 61643]
['DEINVI_00761', 61548]
['DEINVI_06941', 61519]
['DEINVI_05136', 61146]
['DEINVI_06964', 61135]
['DEINVI_06968', 61108]
['DEINVI_06970', 61032]
['DEINVI_01417', 61000]
['DEINVI_01837', 61000]
['DEINVI_02353', 61000]
['DEINVI_04304', 61000]
['DEINVI_03822', 60941]
['DEINVI_04486', 60916]
['DEINVI_05322', 60907]
['DEINVI_06981', 60832]
['DEINVI_06988', 60801]
['DEINVI_05534', 60675]
['DEINVI_04978', 60586]
['DEINVI_01303', 60557]
['DEINVI_02605', 60555]
['DEINVI_07001', 60550]
['DEINVI_07002', 60548]
['DEINVI_04186', 60503]
['DEINVI_00077', 60500]
['DEINVI_00179', 60500]
['DEINVI_01340', 60489]
['DEINVI_04607', 60483]
['DEINVI_07009', 60384]
['DEINVI_03976', 60373]
['DEINVI_05474', 60355]
['DEINVI_07013', 60354]
['DEINVI_03603', 60321]
['DEINVI_04292', 60254]
['DEINVI_05243', 60209]
['DEINVI_01865', 60133]
['DEINVI_07023', 60120]
['DEINVI_07025', 60108]
['DEINVI_03103', 60028]
['DEINVI_00296', 60000]
['DEINVI_01025', 60000]
['DEINVI_02837', 59998]
['DEINVI_00298', 59896]
['DEINVI_05113', 59825]
['DEINVI_05642', 59812]
['DEINVI_04029', 59755]
['DEINVI_02504', 59666]
['DEINVI_04737', 59659]
['DEINVI_01440', 59580]
['DEINVI_04136', 59511]
['DEINVI_00174', 59500]
['DEINVI_04263', 59462]
['DEINVI_05658', 59452]
['DEINVI_04971', 59424]
['DEINVI_07091', 59027]
['DEINVI_00175', 59000]
['DEINVI_01274', 59000]
['DEINVI_03421', 59000]
['DEINVI_07093', 58995]
['DEINVI_07100', 58912]
['DEINVI_05804', 58894]
['DEINVI_07103', 58887]
['DEINVI_07118', 58719]
['DEINVI_00299', 58692]
['DEINVI_07120', 58671]
['DEINVI_03498', 58573]
['DEINVI_07127', 58568]
['DEINVI_03011', 58462]
['DEINVI_07138', 58419]
['DEINVI_05240', 58338]
['DEINVI_04313', 58311]
['DEINVI_07147', 58199]
['DEINVI_03561', 58174]
['DEINVI_05380', 58077]
['DEINVI_07149', 58032]
['DEINVI_02632', 58009]
['DEINVI_01148', 58000]
['DEINVI_04003', 58000]
['DEINVI_04204', 57991]
['DEINVI_02664', 57957]
['DEINVI_07160', 57877]
['DEINVI_07161', 57859]
['DEINVI_07168', 57784]
['DEINVI_05028', 57661]
['DEINVI_02066', 57502]
['DEINVI_00301', 57501]
['DEINVI_05746', 57497]
['DEINVI_06042', 57376]
['DEINVI_05427', 57361]
['DEINVI_01286', 57347]
['DEINVI_04524', 57231]
['DEINVI_07221', 57087]
['DEINVI_04817', 57084]
['DEINVI_04435', 57050]
['DEINVI_02104', 57016]
['DEINVI_02905', 57004]
['DEINVI_00048', 57000]
['DEINVI_00829', 57000]
['DEINVI_03610', 57000]
['DEINVI_04032', 56908]
['DEINVI_07242', 56691]
['DEINVI_07244', 56672]
['DEINVI_04883', 56621]
['DEINVI_03326', 56607]
['DEINVI_05449', 56600]
['DEINVI_07250', 56526]
['DEINVI_00070', 56500]
['DEINVI_01159', 56495]
['DEINVI_03527', 56479]
['DEINVI_05037', 56364]
['DEINVI_07260', 56351]
['DEINVI_02839', 56330]
['DEINVI_03043', 56317]
['DEINVI_07264', 56312]
['DEINVI_02411', 56291]
['DEINVI_07277', 56139]
['DEINVI_00302', 56118]
['DEINVI_01070', 56077]
['DEINVI_07284', 56067]
['DEINVI_01639', 56065]
['DEINVI_05283', 56042]
['DEINVI_07287', 56041]
['DEINVI_03730', 56000]
['DEINVI_00824', 55999]
['DEINVI_07292', 55976]
['DEINVI_07296', 55912]
['DEINVI_06026', 55903]
['DEINVI_00569', 55876]
['DEINVI_00949', 55860]
['DEINVI_02794', 55751]
['DEINVI_07309', 55695]
['DEINVI_00775', 55533]
['DEINVI_00303', 55500]
['DEINVI_04851', 55500]
['DEINVI_01197', 55388]
['DEINVI_07329', 55312]
['DEINVI_07338', 55162]
['DEINVI_00305', 55000]
['DEINVI_00736', 55000]
['DEINVI_00857', 55000]
['DEINVI_01441', 55000]
['DEINVI_03566', 55000]
['DEINVI_03605', 54969]
['DEINVI_07356', 54919]
['DEINVI_07359', 54907]
['DEINVI_03615', 54896]
['DEINVI_04741', 54795]
['DEINVI_04168', 54769]
['DEINVI_00307', 54662]
['DEINVI_00119', 54649]
['DEINVI_07373', 54638]
['DEINVI_01568', 54575]
['DEINVI_07381', 54433]
['DEINVI_07388', 54301]
['DEINVI_00306', 54124]
['DEINVI_07400', 54050]
['DEINVI_06206', 54049]
['DEINVI_06289', 54049]
['DEINVI_07402', 54037]
['DEINVI_00570', 54016]
['DEINVI_00308', 54000]
['DEINVI_02709', 54000]
['DEINVI_03087', 54000]
['DEINVI_03553', 54000]
['DEINVI_07411', 53949]
['DEINVI_07413', 53918]
['DEINVI_07416', 53883]
['DEINVI_04654', 53835]
['DEINVI_02975', 53821]
['DEINVI_05344', 53738]
['DEINVI_07425', 53733]
['DEINVI_05624', 53722]
['DEINVI_00313', 53689]
['DEINVI_07428', 53627]
['DEINVI_00311', 53570]
['DEINVI_00310', 53500]
['DEINVI_00309', 53445]
['DEINVI_02485', 53395]
['DEINVI_05471', 53372]
['DEINVI_03829', 53266]
['DEINVI_07456', 53207]
['DEINVI_07457', 53174]
['DEINVI_01180', 53000]
['DEINVI_02471', 53000]
['DEINVI_02507', 53000]
['DEINVI_04481', 52966]
['DEINVI_07466', 52956]
['DEINVI_00314', 52939]
['DEINVI_00658', 52866]
['DEINVI_00297', 52856]
['DEINVI_04858', 52849]
['DEINVI_05703', 52828]
['DEINVI_07481', 52806]
['DEINVI_07485', 52763]
['DEINVI_07490', 52638]
['DEINVI_04500', 52600]
['DEINVI_07495', 52565]
['DEINVI_05152', 52448]
['DEINVI_01112', 52403]
['DEINVI_02937', 52367]
['DEINVI_03918', 52346]
['DEINVI_00312', 52239]
['DEINVI_07516', 52147]
['DEINVI_04960', 52100]
['DEINVI_00858', 52078]
['DEINVI_07524', 52050]
['DEINVI_03727', 52000]
['DEINVI_00315', 51995]
['DEINVI_00316', 51980]
['DEINVI_04575', 51887]
['DEINVI_06211', 51846]
['DEINVI_05378', 51842]
['DEINVI_03985', 51829]
['DEINVI_03047', 51811]
['DEINVI_02410', 51594]
['DEINVI_00317', 51553]
['DEINVI_03430', 51525]
['DEINVI_07562', 51518]
['DEINVI_01345', 51288]
['DEINVI_05544', 51259]
['DEINVI_07576', 51164]
['DEINVI_00322', 51131]
['DEINVI_02982', 51114]
['DEINVI_07581', 51109]
['DEINVI_03052', 51101]
['DEINVI_02076', 51098]
['DEINVI_07584', 51077]
['DEINVI_01560', 51071]
['DEINVI_06182', 51042]
['DEINVI_00094', 51000]
['DEINVI_00318', 51000]
['DEINVI_00319', 51000]
['DEINVI_02700', 51000]
['DEINVI_02940', 51000]
['DEINVI_00321', 50889]
['DEINVI_04458', 50877]
['DEINVI_03920', 50845]
['DEINVI_05149', 50816]
['DEINVI_07598', 50815]
['DEINVI_07599', 50774]
['DEINVI_03192', 50767]
['DEINVI_07600', 50762]
['DEINVI_07605', 50611]
['DEINVI_03524', 50458]
['DEINVI_07618', 50446]
['DEINVI_05972', 50431]
['DEINVI_07620', 50423]
['DEINVI_03779', 50322]
['DEINVI_06436', 50316]
['DEINVI_03537', 50300]
['DEINVI_06266', 50146]
['DEINVI_05859', 50111]
['DEINVI_03687', 50065]
['DEINVI_00651', 50000]
['DEINVI_00696', 50000]
['DEINVI_00781', 50000]
['DEINVI_03672', 50000]
['DEINVI_03333', 49974]
['DEINVI_02279', 49971]
['DEINVI_00320', 49928]
['DEINVI_07662', 49927]
['DEINVI_05253', 49905]
['DEINVI_07663', 49844]
['DEINVI_04492', 49799]
['DEINVI_05256', 49783]
['DEINVI_07665', 49782]
['DEINVI_05786', 49710]
['DEINVI_07671', 49704]
['DEINVI_04317', 49680]
['DEINVI_01268', 49657]
['DEINVI_07680', 49630]
['DEINVI_01433', 49591]
['DEINVI_04041', 49535]
['DEINVI_05644', 49497]
['DEINVI_00323', 49442]
['DEINVI_05429', 49424]
['DEINVI_01770', 49417]
['DEINVI_07706', 49239]
['DEINVI_03789', 49190]
['DEINVI_06387', 49169]
['DEINVI_07716', 49133]
['DEINVI_00187', 49104]
['DEINVI_03109', 49045]
['DEINVI_02647', 48888]
['DEINVI_02909', 48852]
['DEINVI_07738', 48832]
['DEINVI_07739', 48831]
['DEINVI_04973', 48815]
['DEINVI_07747', 48714]
['DEINVI_05556', 48655]
['DEINVI_07757', 48580]
['DEINVI_06766', 48576]
['DEINVI_07759', 48552]
['DEINVI_01246', 48542]
['DEINVI_06093', 48470]
['DEINVI_03898', 48469]
['DEINVI_05686', 48449]
['DEINVI_05396', 48447]
['DEINVI_07770', 48438]
['DEINVI_07774', 48427]
['DEINVI_07775', 48421]
['DEINVI_07779', 48410]
['DEINVI_02916', 48401]
['DEINVI_07781', 48394]
['DEINVI_07782', 48388]
['DEINVI_07783', 48380]
['DEINVI_07785', 48354]
['DEINVI_00571', 48343]
['DEINVI_06497', 48307]
['DEINVI_01259', 48227]
['DEINVI_04187', 48191]
['DEINVI_07806', 48115]
['DEINVI_05499', 48109]
['DEINVI_05333', 48063]
['DEINVI_07810', 48041]
['DEINVI_07812', 48021]
['DEINVI_00180', 48000]
['DEINVI_01782', 47936]
['DEINVI_07821', 47906]
['DEINVI_07824', 47847]
['DEINVI_07826', 47810]
['DEINVI_07830', 47795]
['DEINVI_07831', 47795]
['DEINVI_05992', 47689]
['DEINVI_07837', 47677]
['DEINVI_00325', 47574]
['DEINVI_05662', 47574]
['DEINVI_04364', 47568]
['DEINVI_07847', 47549]
['DEINVI_07849', 47543]
['DEINVI_07853', 47504]
['DEINVI_07858', 47489]
['DEINVI_07860', 47458]
['DEINVI_07863', 47441]
['DEINVI_07867', 47394]
['DEINVI_07874', 47339]
['DEINVI_05004', 47312]
['DEINVI_07879', 47270]
['DEINVI_05784', 47251]
['DEINVI_05611', 47223]
['DEINVI_04152', 47200]
['DEINVI_07882', 47198]
['DEINVI_06433', 47173]
['DEINVI_00324', 47146]
['DEINVI_06273', 47114]
['DEINVI_07891', 47114]
['DEINVI_00328', 47065]
['DEINVI_06600', 47063]
['DEINVI_03815', 47033]
['DEINVI_01771', 47000]
['DEINVI_04689', 46997]
['DEINVI_04879', 46993]
['DEINVI_07901', 46982]
['DEINVI_07902', 46966]
['DEINVI_04728', 46959]
['DEINVI_02461', 46955]
['DEINVI_00330', 46879]
['DEINVI_01992', 46872]
['DEINVI_06547', 46869]
['DEINVI_04582', 46866]
['DEINVI_03174', 46859]
['DEINVI_07916', 46830]
['DEINVI_00681', 46787]
['DEINVI_02661', 46728]
['DEINVI_04373', 46727]
['DEINVI_07922', 46723]
['DEINVI_05498', 46720]
['DEINVI_07928', 46663]
['DEINVI_02807', 46654]
['DEINVI_05059', 46651]
['DEINVI_01544', 46604]
['DEINVI_07937', 46562]
['DEINVI_06492', 46514]
['DEINVI_00329', 46500]
['DEINVI_02517', 46471]
['DEINVI_00856', 46354]
['DEINVI_06385', 46319]
['DEINVI_03409', 46313]
['DEINVI_07958', 46281]
['DEINVI_00300', 46176]
['DEINVI_01427', 46168]
['DEINVI_06084', 46138]
['DEINVI_05976', 46135]
['DEINVI_07969', 46094]
['DEINVI_07970', 46087]
['DEINVI_00331', 46000]
['DEINVI_01215', 46000]
['DEINVI_01461', 46000]
['DEINVI_03692', 46000]
['DEINVI_01216', 45971]
['DEINVI_00332', 45970]
['DEINVI_07978', 45925]
['DEINVI_07644', 45923]
['DEINVI_01319', 45875]
['DEINVI_04468', 45867]
['DEINVI_07981', 45859]
['DEINVI_03964', 45851]
['DEINVI_04399', 45787]
['DEINVI_07993', 45784]
['DEINVI_07994', 45763]
['DEINVI_00333', 45758]
['DEINVI_02716', 45720]
['DEINVI_07999', 45709]
['DEINVI_08001', 45697]
['DEINVI_06144', 45663]
['DEINVI_08009', 45606]
['DEINVI_05581', 45605]
['DEINVI_03893', 45601]
['DEINVI_04146', 45568]
['DEINVI_08015', 45552]
['DEINVI_08016', 45549]
['DEINVI_04622', 45523]
['DEINVI_02598', 45497]
['DEINVI_08022', 45491]
['DEINVI_02567', 45475]
['DEINVI_04091', 45431]
['DEINVI_03063', 45429]
['DEINVI_01432', 45401]
['DEINVI_02819', 45393]
['DEINVI_08033', 45364]
['DEINVI_00334', 45360]
['DEINVI_01405', 45353]
['DEINVI_04788', 45348]
['DEINVI_08035', 45337]
['DEINVI_03099', 45321]
['DEINVI_05551', 45302]
['DEINVI_08038', 45286]
['DEINVI_00754', 45240]
['DEINVI_05364', 45190]
['DEINVI_08042', 45188]
['DEINVI_08043', 45178]
['DEINVI_02225', 45089]
['DEINVI_08051', 45078]
['DEINVI_01659', 45057]
['DEINVI_08056', 45011]
['DEINVI_02001', 45000]
['DEINVI_02679', 45000]
['DEINVI_03651', 45000]
['DEINVI_05296', 44971]
['DEINVI_01416', 44964]
['DEINVI_08058', 44951]
['DEINVI_02822', 44938]
['DEINVI_00887', 44924]
['DEINVI_08062', 44913]
['DEINVI_05620', 44880]
['DEINVI_03151', 44872]
['DEINVI_08063', 44870]
['DEINVI_08068', 44857]
['DEINVI_08069', 44849]
['DEINVI_04332', 44848]
['DEINVI_05587', 44834]
['DEINVI_08072', 44805]
['DEINVI_08073', 44804]
['DEINVI_04476', 44771]
['DEINVI_00327', 44769]
['DEINVI_01553', 44724]
['DEINVI_08078', 44704]
['DEINVI_08083', 44696]
['DEINVI_05779', 44686]
['DEINVI_08084', 44680]
['DEINVI_08090', 44655]
['DEINVI_00335', 44622]
['DEINVI_08093', 44618]
['DEINVI_03685', 44598]
['DEINVI_04881', 44582]
['DEINVI_00836', 44580]
['DEINVI_08097', 44512]
['DEINVI_00102', 44500]
['DEINVI_00155', 44500]
['DEINVI_00162', 44500]
['DEINVI_08100', 44477]
['DEINVI_04786', 44436]
['DEINVI_08107', 44436]
['DEINVI_06213', 44421]
['DEINVI_08108', 44420]
['DEINVI_02881', 44407]
['DEINVI_01032', 44388]
['DEINVI_08115', 44305]
['DEINVI_06614', 44265]
['DEINVI_08126', 44188]
['DEINVI_01119', 44161]
['DEINVI_01317', 44149]
['DEINVI_00336', 44129]
['DEINVI_08131', 44118]
['DEINVI_04898', 44062]
['DEINVI_06961', 44031]
['DEINVI_08137', 44029]
['DEINVI_08142', 44009]
['DEINVI_04602', 44004]
['DEINVI_00031', 44000]
['DEINVI_00166', 44000]
['DEINVI_00291', 44000]
['DEINVI_02976', 44000]
['DEINVI_04066', 44000]
['DEINVI_04275', 44000]
['DEINVI_08143', 43993]
['DEINVI_04028', 43965]
['DEINVI_08147', 43952]
['DEINVI_02047', 43936]
['DEINVI_08152', 43896]
['DEINVI_08154', 43872]
['DEINVI_08155', 43870]
['DEINVI_08156', 43870]
['DEINVI_05174', 43835]
['DEINVI_08161', 43826]
['DEINVI_01542', 43819]
['DEINVI_08162', 43807]
['DEINVI_03266', 43804]
