['HiC_scaffold_7', 132869780]
['HiC_scaffold_269', 158029]
['HiC_scaffold_47', 157000]
['HiC_scaffold_169', 153500]
['HiC_scaffold_272', 152565]
['HiC_scaffold_64', 152000]
['HiC_scaffold_71', 148500]
['HiC_scaffold_118', 148351]
['HiC_scaffold_3160', 147819]
['HiC_scaffold_61', 147500]
['HiC_scaffold_274', 145501]
['HiC_scaffold_276', 141160]
['HiC_scaffold_273', 140866]
['HiC_scaffold_279', 139179]
['HiC_scaffold_278', 139000]
['HiC_scaffold_3488', 137746]
['HiC_scaffold_221', 136648]
['HiC_scaffold_3528', 136425]
['HiC_scaffold_190', 136000]
['HiC_scaffold_2807', 135617]
['HiC_scaffold_65', 135500]
['HiC_scaffold_277', 135458]
['HiC_scaffold_281', 133883]
['HiC_scaffold_213', 131500]
['HiC_scaffold_3671', 131393]
['HiC_scaffold_3686', 130541]
['HiC_scaffold_205', 130500]
['HiC_scaffold_280', 129486]
['HiC_scaffold_121', 129230]
['HiC_scaffold_271', 128176]
['HiC_scaffold_282', 125018]
['HiC_scaffold_35', 125000]
['HiC_scaffold_207', 123500]
['HiC_scaffold_3975', 121988]
['HiC_scaffold_4008', 121381]
['HiC_scaffold_1108', 120160]
['HiC_scaffold_283', 120012]
['HiC_scaffold_4083', 119427]
['HiC_scaffold_74', 118486]
['HiC_scaffold_4129', 118039]
['HiC_scaffold_284', 117500]
['HiC_scaffold_285', 117490]
['HiC_scaffold_106', 116500]
['HiC_scaffold_4160', 116301]
['HiC_scaffold_185', 116159]
['HiC_scaffold_145', 114594]
['HiC_scaffold_172', 114500]
['HiC_scaffold_112', 113000]
['HiC_scaffold_164', 113000]
['HiC_scaffold_108', 112500]
['HiC_scaffold_163', 112500]
['HiC_scaffold_4292', 112406]
['HiC_scaffold_286', 111559]
['HiC_scaffold_103', 111500]
['HiC_scaffold_4347', 111007]
['HiC_scaffold_188', 111000]
['HiC_scaffold_73', 110500]
['HiC_scaffold_4384', 110037]
['HiC_scaffold_137', 110000]
['HiC_scaffold_1007', 109991]
['HiC_scaffold_52', 109500]
['HiC_scaffold_68', 109500]
['HiC_scaffold_2634', 108613]
['HiC_scaffold_1022', 108049]
['HiC_scaffold_2600', 107252]
['HiC_scaffold_866', 107079]
['HiC_scaffold_2709', 104818]
['HiC_scaffold_290', 103658]
['HiC_scaffold_2695', 103601]
['HiC_scaffold_288', 102242]
['HiC_scaffold_4731', 102175]
['HiC_scaffold_4750', 101763]
['HiC_scaffold_2130', 101507]
['HiC_scaffold_4773', 101346]
['HiC_scaffold_289', 101244]
['HiC_scaffold_62', 101000]
['HiC_scaffold_4807', 100287]
['HiC_scaffold_1466', 99362]
['HiC_scaffold_3490', 99258]
['HiC_scaffold_291', 99133]
['HiC_scaffold_104', 99000]
['HiC_scaffold_292', 99000]
['HiC_scaffold_2383', 98262]
['HiC_scaffold_4926', 98251]
['HiC_scaffold_294', 97280]
['HiC_scaffold_4960', 97258]
['HiC_scaffold_293', 96937]
['HiC_scaffold_2016', 96130]
['HiC_scaffold_3101', 94309]
['HiC_scaffold_5107', 94133]
['HiC_scaffold_296', 93752]
['HiC_scaffold_264', 93518]
['HiC_scaffold_5148', 93509]
['HiC_scaffold_100', 93500]
['HiC_scaffold_5159', 93265]
['HiC_scaffold_5163', 93215]
['HiC_scaffold_901', 93155]
['HiC_scaffold_5234', 91805]
['HiC_scaffold_4142', 91498]
['HiC_scaffold_295', 90888]
['HiC_scaffold_135', 90500]
['HiC_scaffold_198', 90500]
['HiC_scaffold_200', 90500]
['HiC_scaffold_5304', 90481]
['HiC_scaffold_2948', 90142]
['HiC_scaffold_1133', 90000]
['HiC_scaffold_798', 89999]
['HiC_scaffold_1510', 89897]
['HiC_scaffold_4454', 89877]
['HiC_scaffold_297', 89763]
['HiC_scaffold_5344', 89734]
['HiC_scaffold_3379', 88964]
['HiC_scaffold_143', 88499]
['HiC_scaffold_206', 88433]
['HiC_scaffold_298', 88406]
['HiC_scaffold_3982', 88025]
['HiC_scaffold_192', 88000]
['HiC_scaffold_2135', 87770]
['HiC_scaffold_1879', 87425]
['HiC_scaffold_5487', 87062]
['HiC_scaffold_59', 87000]
['HiC_scaffold_2138', 86866]
['HiC_scaffold_5497', 86795]
['HiC_scaffold_5505', 86702]
['HiC_scaffold_63', 86500]
['HiC_scaffold_204', 86500]
['HiC_scaffold_299', 86454]
['HiC_scaffold_4141', 86235]
['HiC_scaffold_5521', 86213]
['HiC_scaffold_303', 86179]
['HiC_scaffold_300', 85707]
['HiC_scaffold_301', 85613]
['HiC_scaffold_302', 85539]
['HiC_scaffold_2859', 85514]
['HiC_scaffold_1881', 85127]
['HiC_scaffold_2714', 83292]
['HiC_scaffold_4046', 82991]
['HiC_scaffold_600', 82510]
['HiC_scaffold_2407', 82205]
['HiC_scaffold_4208', 82140]
['HiC_scaffold_2759', 82013]
['HiC_scaffold_98', 82000]
['HiC_scaffold_3481', 81950]
['HiC_scaffold_4264', 81250]
['HiC_scaffold_1946', 80942]
['HiC_scaffold_4697', 80871]
['HiC_scaffold_3968', 80742]
['HiC_scaffold_5817', 80697]
['HiC_scaffold_5818', 80650]
['HiC_scaffold_3301', 80545]
['HiC_scaffold_5829', 80464]
['HiC_scaffold_3369', 80431]
['HiC_scaffold_1081', 80419]
['HiC_scaffold_3045', 80151]
['HiC_scaffold_5848', 80150]
['HiC_scaffold_3705', 79981]
['HiC_scaffold_304', 79725]
['HiC_scaffold_1425', 79649]
['HiC_scaffold_5871', 79438]
['HiC_scaffold_1542', 79000]
['HiC_scaffold_5899', 78893]
['HiC_scaffold_5900', 78878]
['HiC_scaffold_3278', 78552]
['HiC_scaffold_5939', 78270]
['HiC_scaffold_5944', 78072]
['HiC_scaffold_3193', 77976]
['HiC_scaffold_2087', 77803]
['HiC_scaffold_3277', 77591]
['HiC_scaffold_5989', 77492]
['HiC_scaffold_6028', 76890]
['HiC_scaffold_4710', 76886]
['HiC_scaffold_306', 76496]
['HiC_scaffold_1225', 76386]
['HiC_scaffold_6073', 76195]
['HiC_scaffold_6075', 76177]
['HiC_scaffold_1518', 76170]
['HiC_scaffold_4822', 76123]
['HiC_scaffold_4869', 75696]
['HiC_scaffold_3697', 75658]
['HiC_scaffold_6102', 75580]
['HiC_scaffold_1961', 75521]
['HiC_scaffold_3056', 75426]
['HiC_scaffold_3221', 75395]
['HiC_scaffold_305', 75374]
['HiC_scaffold_6139', 75083]
['HiC_scaffold_2096', 75000]
['HiC_scaffold_6156', 74857]
['HiC_scaffold_6160', 74824]
['HiC_scaffold_1713', 74821]
['HiC_scaffold_3314', 74531]
['HiC_scaffold_6201', 74201]
['HiC_scaffold_6202', 74184]
['HiC_scaffold_2025', 74127]
['HiC_scaffold_2914', 74000]
['HiC_scaffold_3007', 73998]
['HiC_scaffold_307', 73638]
['HiC_scaffold_5383', 73402]
['HiC_scaffold_5221', 73400]
['HiC_scaffold_1873', 73394]
['HiC_scaffold_744', 73290]
['HiC_scaffold_6270', 73126]
['HiC_scaffold_2333', 73035]
['HiC_scaffold_6281', 73004]
['HiC_scaffold_171', 73000]
['HiC_scaffold_700', 73000]
['HiC_scaffold_5090', 72816]
['HiC_scaffold_6303', 72654]
['HiC_scaffold_6323', 72318]
['HiC_scaffold_6324', 72266]
['HiC_scaffold_310', 72066]
['HiC_scaffold_309', 71817]
['HiC_scaffold_4344', 71730]
['HiC_scaffold_6360', 71665]
['HiC_scaffold_308', 71581]
['HiC_scaffold_3804', 71580]
['HiC_scaffold_6389', 71359]
['HiC_scaffold_6390', 71349]
['HiC_scaffold_5885', 71191]
['HiC_scaffold_312', 71033]
['HiC_scaffold_223', 71028]
['HiC_scaffold_182', 71000]
['HiC_scaffold_5411', 70983]
['HiC_scaffold_2633', 70889]
['HiC_scaffold_1487', 70859]
['HiC_scaffold_601', 70722]
['HiC_scaffold_3845', 70627]
['HiC_scaffold_6424', 70606]
['HiC_scaffold_92', 70500]
['HiC_scaffold_314', 70500]
['HiC_scaffold_6442', 70477]
['HiC_scaffold_602', 70358]
['HiC_scaffold_5292', 70296]
['HiC_scaffold_817', 70265]
['HiC_scaffold_1960', 70194]
['HiC_scaffold_4175', 70170]
['HiC_scaffold_311', 70054]
['HiC_scaffold_3874', 70009]
['HiC_scaffold_313', 69919]
['HiC_scaffold_3087', 69762]
['HiC_scaffold_2173', 69759]
['HiC_scaffold_1918', 69618]
['HiC_scaffold_6485', 69455]
['HiC_scaffold_6489', 69327]
['HiC_scaffold_2372', 69132]
['HiC_scaffold_4974', 69057]
['HiC_scaffold_152', 69000]
['HiC_scaffold_209', 69000]
['HiC_scaffold_2017', 68925]
['HiC_scaffold_6520', 68713]
['HiC_scaffold_315', 68575]
['HiC_scaffold_6536', 68531]
['HiC_scaffold_193', 68500]
['HiC_scaffold_1684', 68481]
['HiC_scaffold_5508', 68428]
['HiC_scaffold_4196', 68255]
['HiC_scaffold_6563', 68083]
['HiC_scaffold_6567', 68022]
['HiC_scaffold_3989', 67973]
['HiC_scaffold_6572', 67872]
['HiC_scaffold_3464', 67841]
['HiC_scaffold_4559', 67693]
['HiC_scaffold_6584', 67680]
['HiC_scaffold_316', 67492]
['HiC_scaffold_6621', 67022]
['HiC_scaffold_2954', 67000]
['HiC_scaffold_318', 66864]
['HiC_scaffold_320', 66565]
['HiC_scaffold_319', 66464]
['HiC_scaffold_4457', 66344]
['HiC_scaffold_2143', 66282]
['HiC_scaffold_1630', 66182]
['HiC_scaffold_4055', 66150]
['HiC_scaffold_3910', 66000]
['HiC_scaffold_4460', 65881]
['HiC_scaffold_1177', 65821]
['HiC_scaffold_6687', 65790]
['HiC_scaffold_321', 65779]
['HiC_scaffold_317', 65703]
['HiC_scaffold_5401', 65700]
['HiC_scaffold_322', 65484]
['HiC_scaffold_5800', 65421]
['HiC_scaffold_6724', 65255]
['HiC_scaffold_1561', 65238]
['HiC_scaffold_3724', 65233]
['HiC_scaffold_603', 65211]
['HiC_scaffold_6732', 65158]
['HiC_scaffold_5339', 65143]
['HiC_scaffold_2286', 65082]
['HiC_scaffold_5612', 65075]
['HiC_scaffold_6738', 65063]
['HiC_scaffold_3176', 65017]
['HiC_scaffold_6742', 65002]
['HiC_scaffold_1681', 64978]
['HiC_scaffold_4040', 64971]
['HiC_scaffold_4277', 64843]
['HiC_scaffold_6750', 64776]
['HiC_scaffold_3879', 64753]
['HiC_scaffold_6757', 64729]
['HiC_scaffold_2376', 64649]
['HiC_scaffold_4553', 64423]
['HiC_scaffold_6773', 64413]
['HiC_scaffold_4285', 64226]
['HiC_scaffold_6798', 64072]
['HiC_scaffold_323', 63829]
['HiC_scaffold_326', 63746]
['HiC_scaffold_325', 63500]
['HiC_scaffold_3267', 63401]
['HiC_scaffold_6854', 63315]
['HiC_scaffold_6868', 63146]
['HiC_scaffold_2854', 63016]
['HiC_scaffold_36', 63000]
['HiC_scaffold_1972', 63000]
['HiC_scaffold_6888', 62929]
['HiC_scaffold_2366', 62791]
['HiC_scaffold_6903', 62756]
['HiC_scaffold_6906', 62676]
['HiC_scaffold_6907', 62653]
['HiC_scaffold_328', 62571]
['HiC_scaffold_6919', 62527]
['HiC_scaffold_6920', 62483]
['HiC_scaffold_5754', 62441]
['HiC_scaffold_2686', 62362]
['HiC_scaffold_3089', 62337]
['HiC_scaffold_4928', 62294]
['HiC_scaffold_2677', 62113]
['HiC_scaffold_6946', 62104]
['HiC_scaffold_1722', 62000]
['HiC_scaffold_2650', 61949]
['HiC_scaffold_6951', 61928]
['HiC_scaffold_6952', 61927]
['HiC_scaffold_224', 61884]
['HiC_scaffold_327', 61879]
['HiC_scaffold_6972', 61651]
['HiC_scaffold_4433', 61643]
['HiC_scaffold_802', 61548]
['HiC_scaffold_6984', 61519]
['HiC_scaffold_5178', 61146]
['HiC_scaffold_7007', 61135]
['HiC_scaffold_7011', 61108]
['HiC_scaffold_7013', 61032]
['HiC_scaffold_1458', 61000]
['HiC_scaffold_1878', 61000]
['HiC_scaffold_2394', 61000]
['HiC_scaffold_4345', 61000]
['HiC_scaffold_3863', 60941]
['HiC_scaffold_4527', 60916]
['HiC_scaffold_5364', 60907]
['HiC_scaffold_7024', 60832]
['HiC_scaffold_7031', 60801]
['HiC_scaffold_5576', 60675]
['HiC_scaffold_5020', 60586]
['HiC_scaffold_1344', 60557]
['HiC_scaffold_2646', 60555]
['HiC_scaffold_7044', 60550]
['HiC_scaffold_7045', 60548]
['HiC_scaffold_4227', 60503]
['HiC_scaffold_77', 60500]
['HiC_scaffold_179', 60500]
['HiC_scaffold_1381', 60489]
['HiC_scaffold_4648', 60483]
['HiC_scaffold_7052', 60384]
['HiC_scaffold_4017', 60373]
['HiC_scaffold_5516', 60355]
['HiC_scaffold_7056', 60354]
['HiC_scaffold_3644', 60321]
['HiC_scaffold_4333', 60254]
['HiC_scaffold_5285', 60209]
['HiC_scaffold_1906', 60133]
['HiC_scaffold_7066', 60120]
['HiC_scaffold_7068', 60108]
['HiC_scaffold_3144', 60028]
['HiC_scaffold_329', 60000]
['HiC_scaffold_1066', 60000]
['HiC_scaffold_2878', 59998]
['HiC_scaffold_331', 59896]
['HiC_scaffold_5155', 59825]
['HiC_scaffold_5684', 59812]
['HiC_scaffold_4070', 59755]
['HiC_scaffold_2545', 59666]
['HiC_scaffold_4779', 59659]
['HiC_scaffold_1481', 59580]
['HiC_scaffold_4177', 59511]
['HiC_scaffold_174', 59500]
['HiC_scaffold_4304', 59462]
['HiC_scaffold_5700', 59452]
['HiC_scaffold_5013', 59424]
['HiC_scaffold_7134', 59027]
['HiC_scaffold_175', 59000]
['HiC_scaffold_1315', 59000]
['HiC_scaffold_3462', 59000]
['HiC_scaffold_7136', 58995]
['HiC_scaffold_7143', 58912]
['HiC_scaffold_5846', 58894]
['HiC_scaffold_7146', 58887]
['HiC_scaffold_7161', 58719]
['HiC_scaffold_332', 58692]
['HiC_scaffold_7163', 58671]
['HiC_scaffold_3539', 58573]
['HiC_scaffold_7170', 58568]
['HiC_scaffold_3052', 58462]
['HiC_scaffold_7181', 58419]
['HiC_scaffold_5282', 58338]
['HiC_scaffold_4354', 58311]
['HiC_scaffold_7190', 58199]
['HiC_scaffold_3602', 58174]
['HiC_scaffold_5422', 58077]
['HiC_scaffold_7192', 58032]
['HiC_scaffold_2673', 58009]
['HiC_scaffold_1189', 58000]
['HiC_scaffold_4044', 58000]
['HiC_scaffold_4245', 57991]
['HiC_scaffold_2705', 57957]
['HiC_scaffold_7203', 57877]
['HiC_scaffold_7204', 57859]
['HiC_scaffold_7211', 57784]
['HiC_scaffold_5070', 57661]
['HiC_scaffold_2107', 57502]
['HiC_scaffold_334', 57501]
['HiC_scaffold_5788', 57497]
['HiC_scaffold_6084', 57376]
['HiC_scaffold_5469', 57361]
['HiC_scaffold_1327', 57347]
['HiC_scaffold_4565', 57231]
['HiC_scaffold_7264', 57087]
['HiC_scaffold_4859', 57084]
['HiC_scaffold_4476', 57050]
['HiC_scaffold_2145', 57016]
['HiC_scaffold_2946', 57004]
['HiC_scaffold_48', 57000]
['HiC_scaffold_870', 57000]
['HiC_scaffold_3651', 57000]
['HiC_scaffold_4073', 56908]
['HiC_scaffold_7285', 56691]
['HiC_scaffold_7287', 56672]
['HiC_scaffold_4925', 56621]
['HiC_scaffold_3367', 56607]
['HiC_scaffold_5491', 56600]
['HiC_scaffold_7293', 56526]
['HiC_scaffold_70', 56500]
['HiC_scaffold_1200', 56495]
['HiC_scaffold_3568', 56479]
['HiC_scaffold_5079', 56364]
['HiC_scaffold_7303', 56351]
['HiC_scaffold_2880', 56330]
['HiC_scaffold_3084', 56317]
['HiC_scaffold_7307', 56312]
['HiC_scaffold_2452', 56291]
['HiC_scaffold_7320', 56139]
['HiC_scaffold_335', 56118]
['HiC_scaffold_1111', 56077]
['HiC_scaffold_7327', 56067]
['HiC_scaffold_1680', 56065]
['HiC_scaffold_5325', 56042]
['HiC_scaffold_7330', 56041]
['HiC_scaffold_3771', 56000]
['HiC_scaffold_865', 55999]
['HiC_scaffold_7335', 55976]
['HiC_scaffold_7339', 55912]
['HiC_scaffold_6068', 55903]
['HiC_scaffold_604', 55876]
['HiC_scaffold_990', 55860]
['HiC_scaffold_2835', 55751]
['HiC_scaffold_7350', 55719]
['HiC_scaffold_7353', 55695]
['HiC_scaffold_816', 55533]
['HiC_scaffold_336', 55500]
['HiC_scaffold_4893', 55500]
['HiC_scaffold_1238', 55388]
['HiC_scaffold_7373', 55312]
['HiC_scaffold_7382', 55162]
['HiC_scaffold_338', 55000]
['HiC_scaffold_777', 55000]
['HiC_scaffold_898', 55000]
['HiC_scaffold_1482', 55000]
['HiC_scaffold_3607', 55000]
['HiC_scaffold_3646', 54969]
['HiC_scaffold_7400', 54919]
['HiC_scaffold_7403', 54907]
['HiC_scaffold_3656', 54896]
['HiC_scaffold_4783', 54795]
['HiC_scaffold_4209', 54769]
['HiC_scaffold_340', 54662]
['HiC_scaffold_119', 54649]
['HiC_scaffold_7417', 54638]
['HiC_scaffold_1609', 54575]
['HiC_scaffold_7425', 54433]
['HiC_scaffold_7432', 54301]
['HiC_scaffold_339', 54124]
['HiC_scaffold_7444', 54050]
['HiC_scaffold_6248', 54049]
['HiC_scaffold_6331', 54049]
['HiC_scaffold_7446', 54037]
['HiC_scaffold_605', 54016]
['HiC_scaffold_341', 54000]
['HiC_scaffold_2750', 54000]
['HiC_scaffold_3128', 54000]
['HiC_scaffold_3594', 54000]
['HiC_scaffold_7455', 53949]
['HiC_scaffold_7457', 53918]
['HiC_scaffold_7460', 53883]
['HiC_scaffold_4695', 53835]
['HiC_scaffold_3016', 53821]
['HiC_scaffold_5386', 53738]
['HiC_scaffold_7469', 53733]
['HiC_scaffold_5666', 53722]
['HiC_scaffold_346', 53689]
['HiC_scaffold_7472', 53627]
['HiC_scaffold_344', 53570]
['HiC_scaffold_343', 53500]
['HiC_scaffold_342', 53445]
['HiC_scaffold_2526', 53395]
['HiC_scaffold_5513', 53372]
['HiC_scaffold_3870', 53266]
['HiC_scaffold_7500', 53207]
['HiC_scaffold_7501', 53174]
['HiC_scaffold_1221', 53000]
['HiC_scaffold_2512', 53000]
['HiC_scaffold_2548', 53000]
['HiC_scaffold_4522', 52966]
['HiC_scaffold_7510', 52956]
['HiC_scaffold_347', 52939]
['HiC_scaffold_699', 52866]
['HiC_scaffold_330', 52856]
['HiC_scaffold_4900', 52849]
['HiC_scaffold_5745', 52828]
['HiC_scaffold_7525', 52806]
['HiC_scaffold_7529', 52763]
['HiC_scaffold_7534', 52638]
['HiC_scaffold_4541', 52600]
['HiC_scaffold_7539', 52565]
['HiC_scaffold_5194', 52448]
['HiC_scaffold_1153', 52403]
['HiC_scaffold_2978', 52367]
['HiC_scaffold_3959', 52346]
['HiC_scaffold_345', 52239]
['HiC_scaffold_7562', 52147]
['HiC_scaffold_5002', 52100]
['HiC_scaffold_899', 52078]
['HiC_scaffold_7570', 52050]
['HiC_scaffold_3768', 52000]
['HiC_scaffold_348', 51995]
['HiC_scaffold_349', 51980]
['HiC_scaffold_4616', 51887]
['HiC_scaffold_6253', 51846]
['HiC_scaffold_5420', 51842]
['HiC_scaffold_4026', 51829]
['HiC_scaffold_3088', 51811]
['HiC_scaffold_2451', 51594]
['HiC_scaffold_350', 51553]
['HiC_scaffold_3471', 51525]
['HiC_scaffold_7609', 51518]
['HiC_scaffold_225', 51304]
['HiC_scaffold_1386', 51288]
['HiC_scaffold_5586', 51259]
['HiC_scaffold_7623', 51164]
['HiC_scaffold_355', 51131]
['HiC_scaffold_3023', 51114]
['HiC_scaffold_7628', 51109]
['HiC_scaffold_3093', 51101]
['HiC_scaffold_2117', 51098]
['HiC_scaffold_7631', 51077]
['HiC_scaffold_1601', 51071]
['HiC_scaffold_6224', 51042]
['HiC_scaffold_94', 51000]
['HiC_scaffold_351', 51000]
['HiC_scaffold_352', 51000]
['HiC_scaffold_2741', 51000]
['HiC_scaffold_2981', 51000]
['HiC_scaffold_354', 50889]
['HiC_scaffold_4499', 50877]
['HiC_scaffold_3961', 50845]
['HiC_scaffold_5191', 50816]
['HiC_scaffold_7646', 50815]
['HiC_scaffold_7647', 50774]
['HiC_scaffold_3233', 50767]
['HiC_scaffold_7648', 50762]
['HiC_scaffold_7653', 50611]
['HiC_scaffold_3565', 50458]
['HiC_scaffold_7666', 50446]
['HiC_scaffold_6014', 50431]
['HiC_scaffold_7668', 50423]
['HiC_scaffold_3820', 50322]
['HiC_scaffold_6478', 50316]
['HiC_scaffold_3578', 50300]
['HiC_scaffold_6308', 50146]
['HiC_scaffold_5901', 50111]
['HiC_scaffold_3728', 50065]
['HiC_scaffold_692', 50000]
['HiC_scaffold_737', 50000]
['HiC_scaffold_822', 50000]
['HiC_scaffold_3713', 50000]
['HiC_scaffold_3374', 49974]
['HiC_scaffold_2320', 49971]
['HiC_scaffold_353', 49928]
['HiC_scaffold_7710', 49927]
['HiC_scaffold_5295', 49905]
['HiC_scaffold_7711', 49844]
['HiC_scaffold_4533', 49799]
['HiC_scaffold_5298', 49783]
['HiC_scaffold_7713', 49782]
['HiC_scaffold_5828', 49710]
['HiC_scaffold_7719', 49704]
['HiC_scaffold_4358', 49680]
['HiC_scaffold_1309', 49657]
['HiC_scaffold_7728', 49630]
['HiC_scaffold_1474', 49591]
['HiC_scaffold_4082', 49535]
['HiC_scaffold_5686', 49497]
['HiC_scaffold_356', 49442]
['HiC_scaffold_5471', 49424]
['HiC_scaffold_1811', 49417]
['HiC_scaffold_7754', 49239]
['HiC_scaffold_3830', 49190]
['HiC_scaffold_6429', 49169]
['HiC_scaffold_7764', 49133]
['HiC_scaffold_187', 49104]
['HiC_scaffold_3150', 49045]
['HiC_scaffold_2688', 48888]
['HiC_scaffold_2950', 48852]
['HiC_scaffold_7786', 48832]
['HiC_scaffold_7787', 48831]
['HiC_scaffold_5015', 48815]
['HiC_scaffold_7795', 48714]
['HiC_scaffold_5598', 48655]
['HiC_scaffold_7805', 48580]
['HiC_scaffold_6808', 48576]
['HiC_scaffold_7807', 48552]
['HiC_scaffold_1287', 48542]
['HiC_scaffold_6135', 48470]
['HiC_scaffold_3939', 48469]
['HiC_scaffold_5728', 48449]
['HiC_scaffold_5438', 48447]
['HiC_scaffold_7818', 48438]
['HiC_scaffold_7822', 48427]
['HiC_scaffold_7823', 48421]
['HiC_scaffold_7827', 48410]
['HiC_scaffold_2957', 48401]
['HiC_scaffold_7829', 48394]
['HiC_scaffold_7830', 48388]
['HiC_scaffold_7831', 48380]
['HiC_scaffold_7833', 48354]
['HiC_scaffold_606', 48343]
['HiC_scaffold_6539', 48307]
['HiC_scaffold_1300', 48227]
['HiC_scaffold_4228', 48191]
['HiC_scaffold_7854', 48115]
['HiC_scaffold_5541', 48109]
['HiC_scaffold_5375', 48063]
['HiC_scaffold_7858', 48041]
['HiC_scaffold_7860', 48021]
['HiC_scaffold_180', 48000]
['HiC_scaffold_1823', 47936]
['HiC_scaffold_7869', 47906]
['HiC_scaffold_7872', 47847]
['HiC_scaffold_7874', 47810]
['HiC_scaffold_7878', 47795]
['HiC_scaffold_7879', 47795]
['HiC_scaffold_6034', 47689]
['HiC_scaffold_7885', 47677]
['HiC_scaffold_358', 47574]
['HiC_scaffold_5704', 47574]
['HiC_scaffold_4405', 47568]
['HiC_scaffold_7895', 47549]
['HiC_scaffold_7897', 47543]
['HiC_scaffold_7901', 47504]
['HiC_scaffold_7906', 47489]
['HiC_scaffold_7908', 47458]
['HiC_scaffold_7911', 47441]
['HiC_scaffold_7915', 47394]
['HiC_scaffold_7922', 47339]
['HiC_scaffold_5046', 47312]
['HiC_scaffold_7927', 47270]
['HiC_scaffold_5826', 47251]
['HiC_scaffold_5653', 47223]
['HiC_scaffold_4193', 47200]
['HiC_scaffold_7930', 47198]
['HiC_scaffold_6475', 47173]
['HiC_scaffold_357', 47146]
['HiC_scaffold_6315', 47114]
['HiC_scaffold_7939', 47114]
['HiC_scaffold_226', 47113]
['HiC_scaffold_361', 47065]
['HiC_scaffold_6642', 47063]
['HiC_scaffold_3856', 47033]
['HiC_scaffold_1812', 47000]
['HiC_scaffold_4730', 46997]
['HiC_scaffold_4921', 46993]
['HiC_scaffold_7949', 46982]
['HiC_scaffold_7950', 46966]
['HiC_scaffold_4770', 46959]
['HiC_scaffold_2502', 46955]
['HiC_scaffold_363', 46879]
['HiC_scaffold_2033', 46872]
['HiC_scaffold_6589', 46869]
